"","PGBC_SRR5196886","PGBC_SRR5196887","PGBC_SRR5196888","PGBC_SRR5196889","PGBC_SRR5196890","PGBC_SRR5196891","PGBC_SRR5196892","PGBC_SRR5196893","PGBC_SRR5196898","QGBC_SRR5196894","QGBC_SRR5196895","QGBC_SRR5196896","QGBC_SRR5196897","QGBC_SRR5196899","QGBC_SRR5196900"
"","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  "
"","1st Qu.: 0.9004  ","1st Qu.: 0.8232  ","1st Qu.: 0.8008  ","1st Qu.: 0.7294  ","1st Qu.: 0.2696  ","1st Qu.: 0.2017  ","1st Qu.: 1.017  ","1st Qu.: 0.8175  ","1st Qu.: 1.088  ","1st Qu.: 1.718  ","1st Qu.: 1.377  ","1st Qu.: 1.938  ","1st Qu.: 1.382  ","1st Qu.: 1.686  ","1st Qu.: 1.417  "
"","Median : 2.0570  ","Median : 1.8762  ","Median : 1.9532  ","Median : 1.8811  ","Median : 1.2141  ","Median : 1.0238  ","Median : 2.191  ","Median : 1.9479  ","Median : 2.360  ","Median : 2.783  ","Median : 2.401  ","Median : 2.994  ","Median : 2.412  ","Median : 2.786  ","Median : 2.614  "
"","Mean   : 2.5272  ","Mean   : 2.3785  ","Mean   : 2.3766  ","Mean   : 2.3314  ","Mean   : 1.8529  ","Mean   : 1.7531  ","Mean   : 2.652  ","Mean   : 2.4405  ","Mean   : 2.771  ","Mean   : 3.172  ","Mean   : 2.791  ","Mean   : 3.380  ","Mean   : 2.876  ","Mean   : 3.184  ","Mean   : 3.069  "
"","3rd Qu.: 3.6721  ","3rd Qu.: 3.3672  ","3rd Qu.: 3.5024  ","3rd Qu.: 3.4469  ","3rd Qu.: 2.8483  ","3rd Qu.: 2.7040  ","3rd Qu.: 3.831  ","3rd Qu.: 3.4687  ","3rd Qu.: 4.000  ","3rd Qu.: 4.225  ","3rd Qu.: 3.768  ","3rd Qu.: 4.472  ","3rd Qu.: 3.882  ","3rd Qu.: 4.279  ","3rd Qu.: 4.263  "
"","Max.   :14.9939  ","Max.   :15.4136  ","Max.   :14.9910  ","Max.   :15.0195  ","Max.   :15.4623  ","Max.   :14.6476  ","Max.   :15.234  ","Max.   :15.4910  ","Max.   :15.180  ","Max.   :15.633  ","Max.   :15.826  ","Max.   :15.473  ","Max.   :15.869  ","Max.   :15.523  ","Max.   :15.841  "
