"","PGBC_SRR5196886","PGBC_SRR5196887","PGBC_SRR5196888","PGBC_SRR5196889","PGBC_SRR5196890","PGBC_SRR5196891","PGBC_SRR5196892","PGBC_SRR5196893","PGBC_SRR5196898","QGBC_SRR5196894","QGBC_SRR5196895","QGBC_SRR5196896","QGBC_SRR5196897","QGBC_SRR5196899","QGBC_SRR5196900"
"","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.000  "
"","1st Qu.: 1.105  ","1st Qu.: 0.9155  ","1st Qu.: 1.511  ","1st Qu.: 1.435  ","1st Qu.: 0.9083  ","1st Qu.: 0.7982  ","1st Qu.: 1.109  ","1st Qu.: 0.8888  ","1st Qu.: 1.174  ","1st Qu.: 1.094  ","1st Qu.: 1.029  ","1st Qu.: 1.190  ","1st Qu.: 0.9476  ","1st Qu.: 1.249  ","1st Qu.: 1.093  "
"","Median : 2.576  ","Median : 2.2292  ","Median : 2.949  ","Median : 2.853  ","Median : 2.2999  ","Median : 2.3311  ","Median : 2.565  ","Median : 2.2521  ","Median : 2.698  ","Median : 2.392  ","Median : 2.222  ","Median : 2.517  ","Median : 2.1772  ","Median : 2.563  ","Median : 2.555  "
"","Mean   : 2.912  ","Mean   : 2.6096  ","Mean   : 3.224  ","Mean   : 3.163  ","Mean   : 2.7083  ","Mean   : 2.7086  ","Mean   : 2.897  ","Mean   : 2.6405  ","Mean   : 3.009  ","Mean   : 2.709  ","Mean   : 2.564  ","Mean   : 2.820  ","Mean   : 2.5503  ","Mean   : 2.881  ","Mean   : 2.928  "
"","3rd Qu.: 4.339  ","3rd Qu.: 3.8888  ","3rd Qu.: 4.621  ","3rd Qu.: 4.551  ","3rd Qu.: 4.0917  ","3rd Qu.: 4.1704  ","3rd Qu.: 4.316  ","3rd Qu.: 3.9597  ","3rd Qu.: 4.486  ","3rd Qu.: 3.977  ","3rd Qu.: 3.740  ","3rd Qu.: 4.101  ","3rd Qu.: 3.7616  ","3rd Qu.: 4.175  ","3rd Qu.: 4.360  "
"","Max.   :16.272  ","Max.   :16.4112  ","Max.   :15.758  ","Max.   :15.920  ","Max.   :15.6392  ","Max.   :15.6412  ","Max.   :16.084  ","Max.   :16.1921  ","Max.   :15.685  ","Max.   :16.182  ","Max.   :16.518  ","Max.   :16.179  ","Max.   :16.2417  ","Max.   :16.038  ","Max.   :15.841  "
