"","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell"
"PGBC",1,0.973668907445878,0.995511144276812,0.995511144276812,0.995511144276812,NA,0,0,0,0
"QGBC",0.973668907445878,1,0.990874027533386,0.990874027533386,0.990874027533386,0,NA,0,0,0
"No_data",0.995511144276812,0.990874027533386,1,1,1,0,0,NA,0,0
"No_data",0.995511144276812,0.990874027533386,1,1,1,0,0,0,NA,0
"Glioblastoma_cancer_stem_cell",0.995511144276812,0.990874027533386,1,1,1,0,0,0,0,NA
