"","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell"
"PGBC",1,0.973902835111847,0.995567318087788,0.995567318087788,0.995567318087788,NA,0,0,0,0
"QGBC",0.973902835111847,1,0.990932301566408,0.990932301566408,0.990932301566408,0,NA,0,0,0
"No_data",0.995567318087788,0.990932301566408,1,1,1,0,0,NA,0,0
"No_data",0.995567318087788,0.990932301566408,1,1,1,0,0,0,NA,0
"Glioblastoma_cancer_stem_cell",0.995567318087788,0.990932301566408,1,1,1,0,0,0,0,NA
