"","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell"
"PGBC",1,0.955563475311575,0.993011655392504,0.993011655392504,0.993011655392504,NA,0,0,0,0
"QGBC",0.955563475311575,1,0.983675159656005,0.983675159656005,0.983675159656005,0,NA,0,0,0
"No_data",0.993011655392504,0.983675159656005,1,1,1,0,0,NA,0,0
"No_data",0.993011655392504,0.983675159656005,1,1,1,0,0,0,NA,0
"Glioblastoma_cancer_stem_cell",0.993011655392504,0.983675159656005,1,1,1,0,0,0,0,NA
