"","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell"
"PGBC",1,0.973937458395158,0.995575407980518,0.995575407980518,0.995575407980518,NA,0,0,0,0
"QGBC",0.973937458395158,1,0.990941240379835,0.990941240379835,0.990941240379835,0,NA,0,0,0
"No_data",0.995575407980518,0.990941240379835,1,1,1,0,0,NA,0,0
"No_data",0.995575407980518,0.990941240379835,1,1,1,0,0,0,NA,0
"Glioblastoma_cancer_stem_cell",0.995575407980518,0.990941240379835,1,1,1,0,0,0,0,NA
