"","No_data"
"A2M",5.1267703428791
"AAAS",5.00180859365588
"AASS",3.87280783908015
"AATK",0.8905589182634
"ABCA13",1.14034122563218
"ABCA2",6.32345502513196
"ABCA3",3.39279547031116
"ABCA5",2.58067754934591
"ABCA7",3.27715829249356
"ABCB4",0.632458547860913
"ABCC5",3.494652183003
"ABCC8",1.54802734340744
"ABCD4",4.51813011429189
"ABCG1",1.50116400740972
"ABHD1",1.72843732888911
"ABI3BP",0.752259145409799
"ABLIM1",2.30208537035592
"ABR",3.50705250061753
"AC002064.1",0.849345703348539
"AC002310.4",1.56552252380463
"AC002310.5",0.96424457381833
"AC002519.2",1.874928557267
"AC003002.2",1.30219709562051
"AC003102.1",3.87287889590287
"AC004080.1",0.404086358763461
"AC004080.2",1.14050293578474
"AC004221.1",1.77819523828625
"AC004241.1",0.857288041027396
"AC004264.1",0.836681534685993
"AC004264.2",1.81561400831849
"AC004453.2",1.23688293111943
"AC004471.1",0.398897409323177
"AC004477.1",2.78954251308769
"AC004485.1",0.576405184159796
"AC004528.1",1.09350932604949
"AC004540.2",1.21619590389511
"AC004656.1",5.52206538381471
"AC004828.1",0.51565507933627
"AC004832.2",0.506986876991428
"AC004832.3",0.337182876235287
"AC004832.6",1.62441392338734
"AC004836.1",0.968478569851036
"AC004839.1",2.24491618206463
"AC004840.2",0.396133513590063
"AC004865.2",2.35872015849966
"AC004910.1",1.62817750252035
"AC004918.1",3.15427497575742
"AC004923.4",0.547313802254247
"AC004982.1",2.42149085363117
"AC005020.1",1.7912748709886
"AC005020.2",1.38724160436249
"AC005154.1",3.88724129864562
"AC005154.6",1.29326809030725
"AC005261.5",2.8246987741844
"AC005288.1",1.27173177509205
"AC005329.1",2.28458845297569
"AC005332.2",0.711543337779146
"AC005332.3",1.48954803086227
"AC005332.5",4.42590684049047
"AC005332.8",1.82349651242864
"AC005355.2",1.75413375610407
"AC005363.2",1.6395343600734
"AC005377.1",0.440459686172065
"AC005393.1",2.927233276125
"AC005476.2",1.16106198685899
"AC005498.3",1.75482825762974
"AC005520.2",0.796488608382571
"AC005592.1",1.3275824868738
"AC005618.1",2.57528474902149
"AC005696.4",1.43705088392553
"AC005753.1",1.60440691562775
"AC005920.1",0.918799832004668
"AC005920.4",0.742810278792418
"AC006064.3",2.71123963521106
"AC006213.2",1.33236928796668
"AC006238.1",1.77118308591241
"AC006252.1",1.8835494222036
"AC006277.1",3.17563860432112
"AC006333.2",4.84452572203857
"AC006378.2",2.31490594145357
"AC006445.1",0.390401157180049
"AC006449.5",2.32461679089523
"AC006449.6",3.46655509746146
"AC006538.2",1.19293852426705
"AC006547.1",2.52099109321627
"AC006557.6",4.40430835781597
"AC006960.1",0.844190397265134
"AC006960.3",1.93335722555936
"AC006978.2",2.74159981415055
"AC007114.1",1.45429972056831
"AC007325.4",1.12718480054151
"AC007383.2",3.42106860002902
"AC007386.1",1.1911983548932
"AC007391.1",1.1570695381661
"AC007405.3",2.88860959216029
"AC007422.1",0.665325230132452
"AC007566.1",1.43892699401876
"AC007637.1",1.09782145630628
"AC007663.3",2.18735173311505
"AC007688.1",0.674273464810622
"AC007786.2",0.463258152398218
"AC007842.1",4.306614004791
"AC007969.1",4.62168415427069
"AC008115.1",0.804764164145717
"AC008115.4",2.96259787608044
"AC008124.1",4.46745583718122
"AC008147.4",0.668928447933436
"AC008264.2",1.72877837775258
"AC008267.1",1.05542614898541
"AC008267.3",1.42487056429181
"AC008267.5",3.4769070497519
"AC008403.3",1.45226904852168
"AC008438.2",0.964470439381169
"AC008443.1",2.96372815016112
"AC008443.3",1.00040968834715
"AC008443.4",2.08852078713997
"AC008443.5",2.62219294844416
"AC008494.2",1.39895523959536
"AC008537.1",1.51372352194893
"AC008610.1",3.50387313861036
"AC008663.2",1.14010168290429
"AC008737.2",0.401951718227416
"AC008752.2",1.35497061592623
"AC008785.1",1.30493647260887
"AC008806.1",0.557371354609245
"AC008875.1",3.14023754103678
"AC008969.1",3.48521862085479
"AC009041.2",1.39269670090354
"AC009052.1",1.89364951706241
"AC009075.1",0.317675463295498
"AC009084.1",0.609192410314844
"AC009108.1",1.03272161609692
"AC009127.2",0.569630339344649
"AC009133.3",1.18067607893097
"AC009159.1",1.07550525461962
"AC009159.2",1.40885217132974
"AC009159.3",3.22011372411542
"AC009163.5",1.4344381692179
"AC009163.6",1.16790481071103
"AC009283.1",5.04562100801837
"AC009404.1",2.4433284163788
"AC009407.1",1.951167336957
"AC009414.2",5.0503520960667
"AC009518.2",0.954969817891773
"AC009518.3",0.741675960252758
"AC009720.1",2.78979702656043
"AC009779.1",1.52997140848259
"AC009812.1",3.04025412860287
"AC009831.4",0.698606938315592
"AC009955.2",3.3085223728001
"AC009963.2",2.34574433783128
"AC010198.1",1.0591289234596
"AC010201.1",2.86251654780251
"AC010201.2",3.7640106617176
"AC010205.1",0.470996837440387
"AC010327.1",0.422159166016946
"AC010327.4",1.25004812900681
"AC010327.5",2.2570424786287
"AC010335.1",2.24052528686939
"AC010359.1",2.1639711916952
"AC010422.2",1.58180486346959
"AC010425.1",0.590986081685693
"AC010531.1",1.64536134244816
"AC010551.3",0.811289630704364
"AC010595.1",1.55623110296874
"AC010615.1",2.28783076818352
"AC010618.3",1.62600539367857
"AC010654.1",1.63909978732302
"AC010719.1",3.93652402359011
"AC010883.1",1.38208915588583
"AC010894.2",3.15626940746809
"AC010904.2",1.61437137897846
"AC010931.3",0.973230927866726
"AC010997.4",1.96810176009772
"AC011374.2",3.78190930452482
"AC011450.1",2.90311280137819
"AC011458.1",1.08244881188603
"AC011458.2",1.08113195334361
"AC011474.2",0.822703955564254
"AC011475.1",1.61201658314488
"AC011481.1",3.00350765904009
"AC011487.2",0.586006876518271
"AC011530.1",2.50054089767688
"AC011816.2",1.3118037321415
"AC012313.4",3.29707273586084
"AC012313.6",1.58251190146769
"AC012313.8",2.10717131262323
"AC012414.2",0.166920917418406
"AC012462.3",1.25619609484552
"AC012512.1",5.74339609808662
"AC012615.1",2.14736319772245
"AC013244.1",0.949511697550796
"AC013268.5",0.42668443797569
"AC015660.2",2.41720701524353
"AC015660.3",2.32516142135302
"AC015660.4",1.66480011881082
"AC015802.4",1.22503440958933
"AC015813.4",2.1905685010435
"AC015909.5",1.99099539385469
"AC015983.2",0.779566304791261
"AC016027.1",1.36467914626685
"AC016168.2",1.69315633002476
"AC016575.1",1.3985056177512
"AC016588.2",5.67726726384579
"AC016590.1",1.64428350514621
"AC016705.2",1.33655031980081
"AC016717.3",0.804349963810792
"AC016722.3",1.38188902137735
"AC016739.1",4.04970382569278
"AC016831.6",0.403452475790953
"AC016876.1",4.77047022767869
"AC017104.4",2.90484944150209
"AC018521.4",1.03790587616429
"AC018635.2",0.947652786712401
"AC018638.1",5.20324683901387
"AC018638.2",6.39341368369876
"AC018638.4",5.94757066176169
"AC018638.5",6.68692711065135
"AC018638.7",3.41938990068662
"AC018638.8",2.15551478634797
"AC018845.3",1.69347878508054
"AC019322.4",2.6932683460377
"AC020604.1",1.54871664601209
"AC020661.1",1.59895838820871
"AC020904.2",1.45240694161299
"AC020916.1",6.60665621148966
"AC020917.3",2.5180112854174
"AC020928.1",1.71396384526881
"AC021218.1",2.99951397983989
"AC021739.3",1.96206427873537
"AC021739.5",1.766920864294
"AC021755.2",0.575276188289636
