"","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell"
"PGBC",1,0.976971201543436,0.996219029893053,0.996219029893053,0.996219029893053,NA,0,0,0,0
"QGBC",0.976971201543436,1,0.99181439135691,0.99181439135691,0.99181439135691,0,NA,0,0,0
"No_data",0.996219029893053,0.99181439135691,1,1,1,0,0,NA,0,0
"No_data",0.996219029893053,0.99181439135691,1,1,1,0,0,0,NA,0
"Glioblastoma_cancer_stem_cell",0.996219029893053,0.99181439135691,1,1,1,0,0,0,0,NA
