"","QNP_SRR3486449","QNP_SRR3486450","TAP_SRR3486455","TAP_SRR3486456"
"","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  "
"","1st Qu.: 1.631  ","1st Qu.: 3.940  ","1st Qu.: 1.514  ","1st Qu.: 0.000  "
"","Median : 2.581  ","Median : 5.987  ","Median : 2.320  ","Median : 0.000  "
"","Mean   : 2.863  ","Mean   : 5.523  ","Mean   : 2.670  ","Mean   : 1.535  "
"","3rd Qu.: 3.769  ","3rd Qu.: 7.591  ","3rd Qu.: 3.398  ","3rd Qu.: 2.712  "
"","Max.   :14.486  ","Max.   :17.297  ","Max.   :13.427  ","Max.   :14.470  "
