"","QNP_SRR3486449","QNP_SRR3486450","TAP_SRR3486455","TAP_SRR3486456"
"","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  "
"","1st Qu.: 1.684  ","1st Qu.: 0.000  ","1st Qu.: 1.497  ","1st Qu.: 0.000  "
"","Median : 2.599  ","Median : 5.297  ","Median : 2.283  ","Median : 0.000  "
"","Mean   : 2.898  ","Mean   : 4.549  ","Mean   : 2.645  ","Mean   : 1.437  "
"","3rd Qu.: 3.784  ","3rd Qu.: 7.217  ","3rd Qu.: 3.367  ","3rd Qu.: 2.544  "
"","Max.   :17.643  ","Max.   :17.297  ","Max.   :16.871  ","Max.   :14.211  "
