"","QNP_SRR3486449","QNP_SRR3486450","TAP_SRR3486455","TAP_SRR3486456"
"1700092M07Rik",1.57362823874286,6.02710327849287,3.21508251640049,0
"AABR07000276.1",0.452192205896286,2.8031733143119,1.55044276750991,0
"AABR07000534.1",1.50200103551271,2.39290348396051,2.03888664396096,0
"AABR07000629.3",2.32620560094673,3.18345873384868,2.91414727790222,0
"AABR07001048.1",1.99918001494924,3.08603622777263,2.28299595868101,0
"AABR07001555.1",1.6545781003257,3.65906406528125,0,0
"AABR07002010.1",0.718846697868825,4.26717842392529,1.59967165596246,0
"AABR07002065.2",1.55282201129964,5.46855961298683,1.55575866180218,0
"AABR07002493.1",0.658542423862532,4.1117107758224,1.48474648885027,0
"AABR07002768.1",5.01903662278928,9.0846987368922,5.35158220960381,8.19255306286371
"AABR07002774.1",1.32545064058177,4.54016948114591,1.90654378731685,2.08087664224871
"AABR07002774.2",1.37641036264515,5.29274925450431,2.64566588075851,3.57084753603255
"AABR07002774.3",1.63664957824708,5.04981240227746,2.42023490664673,0
"AABR07002784.1",2.56001400306494,6.17819289937194,3.73879019712893,5.03876470215288
"AABR07002784.2",2.0463411769916,5.04036491751521,2.93708725675017,0
"AABR07002868.1",0.560923255054592,4.88276208446727,0.789045354204855,2.99613081876157
"AABR07002928.2",0.165864921930017,2.11389418285642,0.461824352573293,1.04072679062016
"AABR07002945.1",0.871754411214194,3.28527017511328,1.15877067306252,1.03506988625568
"AABR07003030.1",1.26267894622683,4.56877039744723,0,0
"AABR07003030.2",1.44749505781819,3.91661991569283,1.12984447703688,1.82237362497142
"AABR07003176.1",2.60441182892062,6.51895983598594,3.11548074667397,5.0435501069339
"AABR07004229.1",0,5.57076202126595,1.32253836725388,0
"AABR07004259.1",1.62443350603578,4.1634944159441,2.09593625857993,0
"AABR07004269.3",2.10642649217849,6.95200793599576,2.83893636670107,4.22152642918461
"AABR07004269.4",1.80495570371623,2.33673440911456,0,0
"AABR07004292.1",0,3.66426444473372,1.3259299112952,0
"AABR07004304.1",0,4.5170489521116,1.27068455411337,0
"AABR07004404.1",0.862817899640822,1.87162381522427,1.10984017167364,0
"AABR07004812.1",1.96997017445387,3.15363787859685,2.83100880476614,0
"AABR07005506.1",2.03199707429897,1.76127521937988,1.25569156630602,0
"AABR07005535.1",1.61596175414612,5.31134603173673,0.999257426223551,3.47366409663968
"AABR07005564.1",0.348930070739514,2.44483735860256,1.10237390651298,0
"AABR07005588.1",5.52229261872533,10.4629572692898,6.54922914681078,7.43180497472978
"AABR07005618.1",5.05387489907949,10.1191851713312,5.73965877365539,0
"AABR07005633.1",2.52132726634598,7.91050482110018,2.10858439191327,0
"AABR07005752.1",0.735465748973585,3.09776080196059,1.30070388913965,0
"AABR07005779.2",1.28106073595496,5.09118761418147,1.23246712400364,2.18455028412188
"AABR07005779.3",1.60751111171629,6.49483405200535,1.69742025234475,0
"AABR07005779.4",0,5.29198438703404,1.79213663563251,0
"AABR07005779.6",0.124381795831074,1.97278673182332,1.15497048886975,0
"AABR07005794.1",0.877721996986434,2.96384187127847,1.0983189915959,0
"AABR07005838.1",2.78660388020194,7.10764004605578,2.18063306215739,0
"AABR07005985.2",0.623085622774229,2.92704862485218,0.524978530878752,1.11014090923509
"AABR07006097.1",0.522401040583543,1.74960764618215,1.04759428453823,0
"AABR07006160.1",3.01262069970468,7.43692651681128,2.4591792797209,0
"AABR07006258.2",3.33644326060903,7.21761394462295,3.19786131940091,0
"AABR07006310.1",0.490982315191416,1.21230584115795,1.01416723604938,0
"AABR07006451.1",0.241068431192813,1.98341370043657,1.33621714152516,0
"AABR07006458.1",2.18364091990658,6.01013943683748,2.78963503511376,3.61374186054985
"AABR07006480.1",0.682296677640904,3.57459734883921,0.846449316538884,1.64974278446905
"AABR07006627.2",1.51184391446336,2.58816112153618,0,0
"AABR07006656.2",0.147333474358147,1.45763374589361,1.08874799242794,0
"AABR07006860.1",2.025459901804,5.77913909580366,2.67599810910509,1.04776433918068
"AABR07006860.2",3.70521345254091,7.90750546173395,4.1561844156671,0
"AABR07006873.1",1.13934216332979,3.9490497398562,1.41562714161459,0.532804835076343
"AABR07006894.1",1.06557032601276,3.682180679537,0.749048134068269,0
"AABR07006957.1",2.29606041906984,2.55757226801391,2.4645627233731,0
"AABR07007000.1",4.86806782773558,9.67710789686334,4.38622235865686,0
"AABR07007032.1",1.05851448668117,3.99689178362611,0.68590776843503,0.801488009216967
"AABR07007055.1",1.41201049128976,5.88395604983917,1.36885987974713,0
"AABR07007068.1",1.28077964912026,5.06742389780152,0.909716544123872,0
"AABR07007121.1",3.56358176418146,7.92332271350543,4.85233896794283,0
"AABR07007130.2",0,3.10053713304754,1.78428227588784,0
"AABR07007592.1",3.41258577209367,0,1.28961435793046,0
"AABR07008293.4",2.25747573821592,1.8760834319885,2.45425148873325,0
"AABR07010370.1",2.48635796683405,1.8760834319885,1.53381553780141,0
"AABR07010460.1",1.81199201291705,5.79158125578438,3.39793569701107,4.39065174096565
"AABR07010620.1",1.66614437370582,0,1.08511811236783,0
"AABR07010705.1",7.34810341236743,0,6.36168031887552,5.01863904192987
"AABR07013255.1",2.76668610217264,0,1.88917285708414,0
"AABR07013425.1",3.22710610559694,3.2200491179131,3.17797606640704,0
"AABR07014756.1",1.49317321152719,4.92999276255574,1.53721186775149,0
"AABR07015517.2",1.90841679085058,0,1.57936439219989,0
"AABR07018556.1",5.0738101512112,5.59581377602034,5.50174336817909,0
"AABR07021823.1",5.78743358345095,8.33771779839107,6.60364892539166,3.8473582146597
"AABR07024593.2",7.45665535279546,0,6.39588951279363,0
"AABR07024795.1",0.447563550295405,1.98341370043657,1.44121497620087,0
"AABR07025010.1",5.02397357426052,0,4.6223915666892,0
"AABR07025900.1",2.19085829403393,3.48821432720354,2.43207505227364,0
"AABR07026361.2",2.78944350289386,0,1.61634449824494,0
"AABR07026424.1",7.74060508529807,0,6.81830693396657,0
"AABR07028013.1",4.83591899797362,0,4.30937189257815,0
"AABR07028997.1",1.04845466917203,4.50412705611985,0.417813134139258,0
"AABR07029002.2",0.489270470973354,3.45243362736581,0.787763816445649,1.83559787988962
"AABR07029198.1",7.21991686231066,12.910886347094,6.80821322542341,11.9066803795808
"AABR07029269.1",1.17906092263234,2.61690544033041,0.733385435092463,0
"AABR07029275.1",7.8820471745471,9.37233815847314,7.13040353497775,5.99366567220748
"AABR07029467.2",1.43411267476403,1.91265184448816,1.38160910721846,0
"AABR07029605.1",2.89440232100705,7.16807529249996,3.23891291329115,2.68259438198194
