"","QNP_SRR3486449","QNP_SRR3486450","TAP_SRR3486455","TAP_SRR3486456"
"","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  "
"","1st Qu.: 1.687  ","1st Qu.: 0.000  ","1st Qu.: 1.502  ","1st Qu.: 0.000  "
"","Median : 2.603  ","Median : 5.344  ","Median : 2.295  ","Median : 0.000  "
"","Mean   : 2.906  ","Mean   : 4.594  ","Mean   : 2.654  ","Mean   : 1.451  "
"","3rd Qu.: 3.798  ","3rd Qu.: 7.227  ","3rd Qu.: 3.382  ","3rd Qu.: 2.571  "
"","Max.   :17.643  ","Max.   :17.297  ","Max.   :16.871  ","Max.   :14.211  "
