"","QNP_SRR3486449","QNP_SRR3486450","TAP_SRR3486455","TAP_SRR3486456"
"","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  "
"","1st Qu.: 1.573  ","1st Qu.: 0.000  ","1st Qu.: 1.663  ","1st Qu.: 0.000  "
"","Median : 2.404  ","Median : 0.000  ","Median : 2.468  ","Median : 1.519  "
"","Mean   : 2.713  ","Mean   : 1.786  ","Mean   : 2.779  ","Mean   : 2.147  "
"","3rd Qu.: 3.483  ","3rd Qu.: 3.321  ","3rd Qu.: 3.486  ","3rd Qu.: 3.415  "
"","Max.   :17.643  ","Max.   :17.297  ","Max.   :18.023  ","Max.   :16.439  "
