"","logFC","logCPM","LR","PValue","adj.P.Val","Contrast","FC"
"Mapk14",3.51560269420434,5.03103587132547,7.52107575732053,0.00609812521191653,0.0645392424569895,"PSVZbyQSVZ",11.436729880208
"Rhpn2",-3.16810649166091,2.86372889337127,7.51790575698551,0.00610886605934845,0.0646211003669758,"PSVZbyQSVZ",0.111251254409492
"Fam184a",-3.70378495793407,3.44978260748268,7.51679443351089,0.00611263610266886,0.0646291751238894,"PSVZbyQSVZ",0.0767449186675668
"Cacna1e",-3.73673190242955,2.68202078172017,7.50972190686425,0.00613668457639456,0.0648305335894619,"PSVZbyQSVZ",0.0750121496916226
"Trank1",-3.95164875615438,2.57558395461121,7.50942015334578,0.00613771276364527,0.0648305335894619,"PSVZbyQSVZ",0.0646301541954531
"Lman2l",-3.22457036897869,3.56423956540821,7.5036016338896,0.00615757305290052,0.0650083658016192,"PSVZbyQSVZ",0.106981232213896
"E2f3",2.00529356397267,7.49374791282689,7.49979747106653,0.00617059320494483,0.0650864907882078,"PSVZbyQSVZ",4.01470383506947
"Ccsap",2.96474197394741,2.91027957570396,7.49967028611915,0.0061710289940157,0.0650864907882078,"PSVZbyQSVZ",7.80685770460063
"Dlx5",3.52294340335087,3.82236100920431,7.48913965066148,0.00620722055933376,0.0654360990303478,"PSVZbyQSVZ",11.4950704541028
"Acad11",-3.19755742496155,3.88743560623021,7.48628791468669,0.00621705859566812,0.0654744472172411,"PSVZbyQSVZ",0.109003213690273
"Dgkh",-2.82308508415129,2.42008296872046,7.48587787493952,0.00621847447571584,0.0654744472172411,"PSVZbyQSVZ",0.141307986887658
"Rgl1",-3.84993394128528,3.10167054250302,7.48543724981935,0.00621999633485026,0.0654744472172411,"PSVZbyQSVZ",0.0693512674159365
"Snrpc",2.53935420575175,6.66720315495632,7.48139148704711,0.00623398762933977,0.0655896055274881,"PSVZbyQSVZ",5.81328728230709
"Nudt18",-3.06716105440003,2.67417094831111,7.47632444813619,0.00625155607916736,0.0657180814244406,"PSVZbyQSVZ",0.119314306442571
"Secisbp2l",-2.08391476517716,7.91810325853584,7.4761063511054,0.00625231339906867,0.0657180814244406,"PSVZbyQSVZ",0.235873497783811
"Pdcd7",3.2747025587824,4.6075785096888,7.47292718553331,0.00626336336703478,0.06580205062288,"PSVZbyQSVZ",9.67795719837833
"Sec61b",2.28157912769372,7.97404346789298,7.47095172926663,0.0062702395875991,0.0658421103739339,"PSVZbyQSVZ",4.86209852306576
"Hn1",3.10655579023225,7.8521183926448,7.4656958666461,0.00628857187930454,0.0660023694070561,"PSVZbyQSVZ",8.61323856139426
"Smad2",2.55706115405906,6.61623676232335,7.46243262038129,0.00629998150344384,0.0660898498860543,"PSVZbyQSVZ",5.88507643924991
"Dsn1",3.04831931358764,5.06552058768272,7.46092527685554,0.00630525891596763,0.066112946535963,"PSVZbyQSVZ",8.27247664549207
"Arhgap39",2.90646547942734,5.67448952414172,7.4576268545248,0.00631682288274982,0.0661853506149496,"PSVZbyQSVZ",7.49779031495984
"Rhbdd3",-3.88822984711469,3.58607412481679,7.45719960152396,0.00631832237552345,0.0661853506149496,"PSVZbyQSVZ",0.067534577304677
"Fam134c",-3.4156832135198,2.21346734965846,7.45559843660419,0.00632394507799138,0.0662119821974792,"PSVZbyQSVZ",0.0937080492319863
"A130004G11Rik",-3.9757778989052,2.70241943372653,7.45282280329565,0.00633370418551569,0.0662818751059687,"PSVZbyQSVZ",0.0635582010330667
"5530401A14Rik",3.94779334305921,2.78660133301645,7.45131740686838,0.00633900357734438,0.0663050520170402,"PSVZbyQSVZ",15.4313603502426
"Ttc23",3.84815365093679,3.25635677585632,7.4487510051108,0.00634804842472313,0.0663673642458287,"PSVZbyQSVZ",14.4015646007323
"Capn15",-3.67163100918511,4.78046390033914,7.44643946979071,0.00635620631465272,0.0664066580754419,"PSVZbyQSVZ",0.0784745679320428
"Rspry1",-3.1725989198068,5.65119383771404,7.44593568786134,0.00635798568593903,0.0664066580754419,"PSVZbyQSVZ",0.11090536639388
"Ksr1",-3.56339522633606,2.77329167719512,7.4419806236015,0.00637197275652762,0.0665204246729292,"PSVZbyQSVZ",0.0845884662542988
"Pln",-3.25908045850501,3.05234333503692,7.43920294843864,0.00638181476763649,0.0665908293351196,"PSVZbyQSVZ",0.104452544427643
"Zfp704",3.34408178068655,3.7906965245322,7.43818553814879,0.00638542359338269,0.0665961572730524,"PSVZbyQSVZ",10.1547427041196
"Pls1",-3.21342899388003,2.55349586039317,7.43719013472881,0.00638895637534369,0.0666006873365726,"PSVZbyQSVZ",0.107810605181661
"Mtcp1",3.71740295526156,3.57977136845139,7.4306304100446,0.00641228741936019,0.0668114968876138,"PSVZbyQSVZ",13.1537564239231
"Ptprd",-2.50700726329442,7.47956285052719,7.42728180578797,0.00642423095032152,0.0669035098242059,"PSVZbyQSVZ",0.175920161237756
"BC068281",-3.80057024677942,3.23696452663646,7.42545099428191,0.00643077054088882,0.0669391829425691,"PSVZbyQSVZ",0.071765275282716
"Rps27l",2.37869127993513,6.18382316693776,7.42081317308316,0.00644736709593307,0.0670468101480847,"PSVZbyQSVZ",5.20064758863614
"9630005C17Rik",-3.15329812105426,2.08788746577723,7.42065605094943,0.00644793012645326,0.0670468101480847,"PSVZbyQSVZ",0.112399060277975
"Ctdspl2",3.05848947584385,5.11651844679795,7.41994807439928,0.00645046770812929,0.0670468101480847,"PSVZbyQSVZ",8.33099883333231
"Mvd",-3.02192095685892,3.82664740105348,7.41752866813298,0.00645914722008244,0.0671045768466274,"PSVZbyQSVZ",0.123115050469848
"Nfatc1",-3.03113635235881,2.67204657936276,7.41637532358895,0.00646328898784102,0.0671151675331607,"PSVZbyQSVZ",0.12233114396126
"Cdkn1a",2.96052361077266,4.46831334711383,7.41317992873888,0.00647477811639116,0.0671776898939193,"PSVZbyQSVZ",7.78406420973758
"Cstf2",3.24256309594039,2.74101176684371,7.41198309035206,0.00647908674658347,0.0671776898939193,"PSVZbyQSVZ",9.46474144886021
"Galnt2",3.5924764401146,3.64332658721385,7.41187468027442,0.00647947716850255,0.0671776898939193,"PSVZbyQSVZ",12.0626622299955
"Zfp280d",3.05183583929141,4.47514685528457,7.41112027150171,0.00648219471878484,0.0671776898939193,"PSVZbyQSVZ",8.29266515256662
"AA645497",2.95396160544187,5.37364194802153,7.41035950888566,0.00648493633542138,0.0671776898939193,"PSVZbyQSVZ",7.74873929325242
"Lrrc75b",-2.91925649845839,3.09508298690192,7.40657648007728,0.00649858710735676,0.0672866714222705,"PSVZbyQSVZ",0.132195365192454
"Atp5s",3.95372436124591,2.97169538920389,7.40498018964904,0.00650435599796316,0.0673139779375147,"PSVZbyQSVZ",15.4949303109148
"Cntfr",-1.96885489440731,7.80477256090707,7.40367827263762,0.0065090649129881,0.0673302936981132,"PSVZbyQSVZ",0.255455713002669
"Tnfrsf18",-3.10998218077495,3.91939314664759,7.4016147636118,0.00651653556816304,0.0673751476852643,"PSVZbyQSVZ",0.115824938321304
"H19",3.16447628519287,2.19582470556071,7.40003699181772,0.00652225358270176,0.0674018465193146,"PSVZbyQSVZ",8.96607324621611
"Brinp1",-3.80580209742427,2.91208545831914,7.39603364926404,0.0065367851265363,0.0675195561244103,"PSVZbyQSVZ",0.0715054939624279
"LOC102632575",-3.36930544297194,3.15616761469181,7.39418185381759,0.0065435180488,0.0675566380686628,"PSVZbyQSVZ",0.0967693885943632
"Opalin",-2.84269947693322,3.99977798437999,7.39077208529741,0.00655593411629045,0.0676076997551488,"PSVZbyQSVZ",0.139399812233933
"Setmar",-3.88508919641592,2.81323726293511,7.39039256977051,0.0065573175416239,0.0676076997551488,"PSVZbyQSVZ",0.0676817557072543
"Prpf18",3.45295703865231,5.03779148782382,7.39023289130161,0.00655789969711492,0.0676076997551488,"PSVZbyQSVZ",10.9507444027317
