"","Grade_3","Grade_2","Grade_4","CON","Grade_3","Grade_2","Grade_4","CON"
"Grade_3",1,0.99305694580943,0.992929435764311,0.934654707534312,NA,0,0,0
"Grade_2",0.99305694580943,1,0.976327244671215,0.949277218085982,0,NA,0,0
"Grade_4",0.992929435764311,0.976327244671215,1,0.913959143157278,0,0,NA,0
"CON",0.934654707534312,0.949277218085982,0.913959143157278,1,0,0,0,NA
