"","SRP027383","SRP091303","GSE67333","GSE64810","GSE100297","GSE53697"
"A1BG",0.346006418610359,0.554912006985645,0.716817928927434,0.520263872155259,0.96357816549843,0.372453353253532
"A2M",6.65182730388512,6.64001318779632,4.37757825977704,3.96704513005885,5.03898187079813,3.49534603821252
"A2M-AS1",1.15128956812419,0.870496695558379,2.77578315777837,1.83008728625213,2.31772798898143,2.20757205619185
"A2ML1",0.470304334580201,0.355527737433384,0.749062936896155,0.261543119076617,0.496290621916784,0.441281895287585
"A2ML1-AS1",0.0115528067144182,0.11253869545518,0.256314183110962,0.0226316582108124,0.0603403104105608,0.0947089340489163
"A2MP1",0.266288186202229,0.259599230965633,0.942098142724418,0.452486692641647,0.702616782904251,0.587848886821198
"A4GALT",1.144856719445,1.28676557600504,1.00720712002908,0.723328332150461,1.6852500834414,0.32445296948402
"A4GNT",0.303731697875913,0.369326265187756,0.109079437948413,0.145035467863944,0.664313354265491,0.069286655196981
"AAAS",4.16522344410183,4.63793749261203,2.1498937769881,3.50901143479799,3.43435997955845,1.76296650954702
"AACS",1.59295722015376,1.52811705280714,3.26118371102829,2.5798328703374,1.60003752661521,2.14728275239356
"AACSP1",0.0423786021636503,0.13467707987493,0.303095453932495,0.0718086513847145,0.0320404653588719,0.117412558662455
"AADACL2",0.049519200499237,0.11257713100425,0.306605279055367,0.00278706321022132,0.384063601773204,0.0559071262199973
"AADACL2-AS1",0.0116503411367056,0.0730674615156366,0.0153280080633634,0.00581498139973935,0.0334485795317261,0.0225560989020934
"AADACL3",0.171707507481498,0.0680905254026569,0,0.000768541616400335,0.0346524165700948,0
"AADACL4",0.173071256454918,0.104966867844095,0.00262135246581723,0.00385038336672315,0.00982019714257108,0.000398384077983036
"AADAT",2.35540845784616,2.23279310315911,1.79694615109347,2.28304948518499,1.98824786936578,1.75478156180105
"AAED1",2.60566170620999,3.06482474200597,1.83050668874456,1.56771769983762,2.02455513781428,1.12328863290719
"AAGAB",2.51765500713363,2.45826661838424,3.35778711175382,2.51233241042171,1.74479887321827,2.14779138695668
"AAK1",1.62348864022459,1.59396101070997,3.79712033826325,2.54303182262256,1.95523033224297,2.84579772067096
"AAMDC",0.363540062258621,0.342880779200152,0.540978751360098,0.269559115188113,0.628695704528525,0.318793843521997
"AAMP",6.79642775403801,6.82341799846877,6.31855713376102,6.17769267109978,5.37948644257664,4.20399597240051
"AANAT",0.553778180736549,0.713253001884834,0.919025166332829,0.447774092584133,0.746447448493832,0.236152405657639
"AAR2",3.13569134673719,3.18277238622954,1.7185211440081,2.0426912479491,1.83843652150938,1.26812537710535
"AARD",0.26733806829959,0.264154114726101,1.25684481423769,0.854841986915801,0.783254985071075,0.298009268067897
"AARS",5.38796554866925,5.22926523775672,6.4512237469675,5.24186042488401,4.6491785286247,3.9626429147526
"AASDH",2.02893957315001,1.82397076135479,2.29460457147098,1.49317224126536,1.71790060126077,1.88460134650738
