"","F","M"
"A1BG",0.407324783018783,0.407324783018783
"A2M",6.2053569204957,6.2053569204957
"A2M-AS1",1.2528780030471,1.2528780030471
"A2ML1",0.431761828998213,0.431761828998212
"A2ML1-AS1",0.0309425153892137,0.0309425153892137
"A2MP1",0.30782260695163,0.30782260695163
"A4GALT",1.09925722872828,1.09925722872828
"A4GNT",0.290222609802061,0.290222609802061
"AAAS",4.06553121021569,4.0655312102157
"AACS",1.73667325615899,1.73667325615899
"AACSP1",0.0621758992228557,0.0621758992228557
"AADACL2",0.0589264881078159,0.0589264881078158
"AADACL2-AS1",0.0194694931418692,0.0194694931418692
"AADACL3",0.129747811937392,0.129747811937392
"AADACL4",0.135617076168455,0.135617076168455
"AADAT",2.30764978754639,2.30764978754639
"AAED1",2.48978682389563,2.48978682389563
"AAGAB",2.50038575834177,2.50038575834178
"AAK1",1.78636182367235,1.78636182367235
"AAMDC",0.353358152732855,0.353358152732855
"AAMP",6.64635829140497,6.64635829140496
"AANAT",0.560996450914643,0.560996450914642
"AAR2",2.93556000525224,2.93556000525224
"AARD",0.357896358697807,0.357896358697807
"AARS",5.32122296478081,5.32122296478081
"AASDH",1.9308494213771,1.9308494213771
"AASDHPPT",1.46720768739859,1.46720768739859
"AASS",2.20782830565983,2.20782830565983
"AATBC",0.854687526259066,0.854687526259066
"AATF",1.98217198050545,1.98217198050545
"AATK",3.41580159657441,3.41580159657441
"ABAT",2.44041205264453,2.44041205264453
"ABBA01006766.1",0.0465894109543975,0.0465894109543974
"ABCA1",2.62396808363083,2.62396808363083
"ABCA10",0.322939914828938,0.322939914828938
"ABCA13",0.128791086682772,0.128791086682772
"ABCA17P",0.446222551429436,0.446222551429436
"ABCA2",6.58394877701912,6.58394877701913
"ABCA3",4.02601221940805,4.02601221940804
"ABCA4",0.160286393353534,0.160286393353534
"ABCA5",1.28208920938243,1.28208920938243
"ABCA6",0.507300147520871,0.507300147520871
"ABCA7",2.24988536047363,2.24988536047363
"ABCA8",1.96407281953053,1.96407281953053
