"","SRP027383","SRP091303","GSE67333","GSE64810","GSE100297","GSE53697","SRP027383","SRP091303","GSE67333","GSE64810","GSE100297","GSE53697"
"SRP027383",1,0.989338907084795,0.825889718616324,0.93098141070351,0.921002842351578,0.835256161309752,NA,0,0,0,0,0
"SRP091303",0.989338907084795,1,0.797620842833721,0.913427737028626,0.914407067593036,0.800397326369061,0,NA,0,0,0,0
"GSE67333",0.825889718616324,0.797620842833721,1,0.86036919952144,0.823623011469454,0.937773580119527,0,0,NA,0,0,0
"GSE64810",0.93098141070351,0.913427737028626,0.86036919952144,1,0.908178853241278,0.885186936393744,0,0,0,NA,0,0
"GSE100297",0.921002842351578,0.914407067593036,0.823623011469454,0.908178853241278,1,0.829894781343013,0,0,0,0,NA,0
"GSE53697",0.835256161309752,0.800397326369061,0.937773580119527,0.885186936393744,0.829894781343013,1,0,0,0,0,0,NA
