"","Grade_3","Grade_2","Grade_4","CON","Grade_3","Grade_2","Grade_4","CON"
"Grade_3",1,0.999659023796184,0.999638819634499,0.999804468903667,NA,0,0,0
"Grade_2",0.999659023796184,1,0.999878443507757,0.999949460666238,0,NA,0,0
"Grade_4",0.999638819634499,0.999878443507757,1,0.999958051389286,0,0,NA,0
"CON",0.999804468903667,0.999949460666238,0.999958051389286,1,0,0,0,NA
