"","DEG_edgeRnames","DEG_Limmanames","DEG_Simplenames"
"DEG_edgeRnames",0,0.0415735371793385,0
"DEG_Limmanames",0.0415735371793385,0,1
"DEG_Simplenames",0,1,0
