"","meanx","meany","FC","logFC","Contrast"
"Psip1",109.666666666667,1760.55555555558,16.0536980749749,4.00483376481322,"PSVZbyQSVZ"
"Atp5s",5.33333333333334,85.611111111111,16.0520833333333,4.00468864579363,"PSVZbyQSVZ"
"5530401A14Rik",4.66666666666667,74.8333333333331,16.0357142857142,4.00321671268354,"PSVZbyQSVZ"
"C1ql1",5.00000000000002,80.1111111111113,16.0222222222222,4.00200235291115,"PSVZbyQSVZ"
"Smarcad1",17.2222222222222,275.388888888889,15.9903225806452,3.99912713819609,"PSVZbyQSVZ"
"Ppp6r1",11.2777777777778,180.166666666667,15.9753694581281,3.99777739127063,"PSVZbyQSVZ"
"Zbtb12",5.00000000000002,79.8333333333335,15.9666666666667,3.99699125012766,"PSVZbyQSVZ"
"Prpf31",24.2222222222222,386.416666666667,15.9529816513762,3.99575418731876,"PSVZbyQSVZ"
"G2e3",13.4444444444445,214.138888888889,15.9276859504132,3.9934647754125,"PSVZbyQSVZ"
"Ube2cbp",6.33333333333332,100.833333333333,15.9210526315789,3.99286381871837,"PSVZbyQSVZ"
"Parp2",20.1666666666666,320.055555555555,15.870523415978,3.98827780448348,"PSVZbyQSVZ"
"Tdrkh",47.1111111111111,744.972222222232,15.8130896226417,3.9830473694644,"PSVZbyQSVZ"
"Apaf1",5.00000000000002,79.0555555555555,15.8111111111111,3.9828668501968,"PSVZbyQSVZ"
"Cdon",22.8888888888889,360.833333333333,15.7645631067961,3.97861328315202,"PSVZbyQSVZ"
"Cops2",174.750000000001,2750.58333333336,15.7401049117788,3.97637325169201,"PSVZbyQSVZ"
"Dleu7",10.8888888888889,171.055555555555,15.7091836734693,3.9735363079296,"PSVZbyQSVZ"
"A130078K24Rik",5.33333333333334,83.4999999999999,15.65625,3.96866679319521,"PSVZbyQSVZ"
"Vps37d",7.50000000000002,117.222222222222,15.6296296296296,3.96621168654372,"PSVZbyQSVZ"
"Gemin6",5.66666666666666,88.3888888888888,15.5980392156863,3.96329277835955,"PSVZbyQSVZ"
"Map4k2",9.94444444444444,155.055555555556,15.5921787709497,3.96275063180181,"PSVZbyQSVZ"
"Nrep",22.2222222222222,346.277777777778,15.5825,3.96185480763616,"PSVZbyQSVZ"
"Taf1",58.3888888888889,909.77777777777,15.5813510941959,3.96174843306122,"PSVZbyQSVZ"
"Gins4",96.9444444444443,1510.13888888885,15.5773638968477,3.96137920667469,"PSVZbyQSVZ"
"Isoc1",34.3888888888889,534.638888888888,15.5468497576736,3.95855037303046,"PSVZbyQSVZ"
"Fbxo5",20.2777777777778,314.805555555556,15.5246575342466,3.95648953859279,"PSVZbyQSVZ"
"BC055324",7.05555555555554,109.388888888889,15.503937007874,3.95456270912939,"PSVZbyQSVZ"
"Sept3",50.1666666666666,774.5,15.4385382059801,3.94846425275102,"PSVZbyQSVZ"
"Ube2s",373.222222222223,5749.11111111108,15.4039892825245,3.94523211936613,"PSVZbyQSVZ"
"Foxm1",9.11111111111112,140.194444444444,15.3871951219512,3.94365836668034,"PSVZbyQSVZ"
"Mettl1",6.33333333333332,97.3055555555556,15.3640350877193,3.94148525863732,"PSVZbyQSVZ"
"Ier5",69.8888888888891,1070.05555555556,15.3108108108108,3.93647878019156,"PSVZbyQSVZ"
"Cenpp",5.00000000000002,76.4444444444444,15.2888888888888,3.93441165837242,"PSVZbyQSVZ"
"LOC102643033",5.99999999999998,91.5555555555556,15.2592592592593,3.93161302501975,"PSVZbyQSVZ"
"Ephb2",7.11111111111111,108.333333333334,15.234375,3.92925840863698,"PSVZbyQSVZ"
"Hk2",7.72222222222222,117.583333333333,15.226618705036,3.92852370059491,"PSVZbyQSVZ"
"Pold2",18.1111111111111,274.666666666666,15.1656441717791,3.92273487367329,"PSVZbyQSVZ"
"Snrpb2",101.805555555556,1542.11111111112,15.1476125511597,3.92101852013512,"PSVZbyQSVZ"
"3110082I17Rik",98.9999999999998,1493.94444444444,15.0903479236813,3.91555416397151,"PSVZbyQSVZ"
"Zbtb10",6.33333333333332,95.3333333333332,15.0526315789474,3.9119438233348,"PSVZbyQSVZ"
"Krit1",5.66666666666668,85.2777777777777,15.0490196078431,3.91159759828604,"PSVZbyQSVZ"
"Gm14680",29.5555555555556,443.694444444444,15.0122180451128,3.90806524481577,"PSVZbyQSVZ"
"Hist3h2ba",20.7777777777778,311.888888888888,15.0106951871658,3.90791888862489,"PSVZbyQSVZ"
"Aaas",20.2222222222222,303.472222222222,15.0068681318681,3.90755101907663,"PSVZbyQSVZ"
