"","meanx","meany","FC","logFC","Contrast"
"Tbc1d10a",6.33333333333332,386.277777777779,60.9912280701757,5.93052986002735,"QSVZbyPSVZ"
"Paqr7",9.22222222222222,559.972222222221,60.7198795180722,5.92409702301142,"QSVZbyPSVZ"
"Ckmt1",5.00000000000002,302.833333333333,60.5666666666664,5.92045210862559,"QSVZbyPSVZ"
"Lgi1",8.77777777777778,524.222222222224,59.721518987342,5.90017895506236,"QSVZbyPSVZ"
"Syt1",5.00000000000002,298.027777777777,59.6055555555553,5.89737489871101,"QSVZbyPSVZ"
"Nagpa",8.61111111111109,512.722222222234,59.5419354838725,5.89583421380292,"QSVZbyPSVZ"
"Zdhhc9",12.7222222222222,754.388888888877,59.29694323144,5.88988583037519,"QSVZbyPSVZ"
"Klf9",28,1658.55555555556,59.2341269841271,5.88835670055624,"QSVZbyPSVZ"
"Clcn5",5.66666666666666,334.833333333334,59.0882352941178,5.88479900748296,"QSVZbyPSVZ"
"Eva1a",24.0555555555555,1400.83333333334,58.2332563510397,5.86377139011797,"QSVZbyPSVZ"
"Gabrb1",103.777777777778,5898.33333333336,56.836188436831,5.82873790232409,"QSVZbyPSVZ"
"S100a1",7.55555555555556,426.611111111112,56.4632352941178,5.81923989121046,"QSVZbyPSVZ"
"P2rx7",6,338.527777777777,56.4212962962962,5.81816790754524,"QSVZbyPSVZ"
"5730433N10Rik",6.11111111111111,342.944444444444,56.1181818181818,5.81039636249833,"QSVZbyPSVZ"
"Rgcc",19,1059.63888888888,55.7704678362569,5.80142946811115,"QSVZbyPSVZ"
"Slc12a4",7.27777777777778,404.444444444445,55.5725190839695,5.79629973354861,"QSVZbyPSVZ"
"Pltp",25.3333333333333,1399.63888888889,55.2489035087722,5.78787392738864,"QSVZbyPSVZ"
"Cth",5.99999999999998,331.444444444444,55.2407407407408,5.78766076017175,"QSVZbyPSVZ"
"Gnb5",7.16666666666666,389.916666666667,54.4069767441862,5.76571975865822,"QSVZbyPSVZ"
"Adamts4",18.2777777777778,991.499999999992,54.2462006079023,5.76145018993591,"QSVZbyPSVZ"
"Zfp775",16.0555555555556,869.194444444463,54.1366782006932,5.75853446211494,"QSVZbyPSVZ"
"AI464131",28.4444444444444,1533.91666666668,53.9267578125006,5.75292939355255,"QSVZbyPSVZ"
"Arsa",9.3888888888889,503.166666666667,53.5917159763313,5.7439381059526,"QSVZbyPSVZ"
"Pdzd2",6.33333333333332,335.583333333334,52.9868421052633,5.72756224350217,"QSVZbyPSVZ"
"Rasgrp1",5.00000000000002,264.361111111111,52.8722222222221,5.72443805942738,"QSVZbyPSVZ"
"Omg",105.277777777778,5529.33333333329,52.5213720316619,5.71483269956865,"QSVZbyPSVZ"
"Ermn",15.6666666666667,813.75,51.9414893617021,5.69881547709651,"QSVZbyPSVZ"
"Ppp1r3g",5.11111111111111,261.472222222222,51.1576086956522,5.67687692354096,"QSVZbyPSVZ"
"Slc7a10",38.0555555555556,1937.05555555556,50.9007299270074,5.6696144398823,"QSVZbyPSVZ"
"Kalrn",21.8888888888889,1110.05555555554,50.7131979695426,5.66428934837547,"QSVZbyPSVZ"
"Adora2b",5.33333333333334,270.000000000001,50.6250000000001,5.66177809777199,"QSVZbyPSVZ"
