"","Grade_3","Grade_2","Grade_4","CON"
"A1BG",0.405486114995639,0.232851668485362,0.475905825770249,0.547844228861179
"A2M",6.73197252645791,5.94168083065396,7.1451119541381,4.01595760714671
"A2M-AS1",1.1950300598262,1.01088157123747,1.13625289977178,1.9701003947259
"A2ML1",0.490811497016742,0.515146880543769,0.385457392497233,0.330660194760962
"A2ML1-AS1",0.0118629957199851,0.0100277085860078,0.0483179623628541,0.0483875910487544
"A2MP1",0.283847604036978,0.281569997317401,0.243571990280548,0.517516901809533
"A4GALT",1.1941935748434,0.88797134344291,1.36489563666796,0.765057438311638
"A4GNT",0.329131449850668,0.223927823617545,0.374670330409829,0.173013874091367
"AAAS",4.23085999314223,3.89914757964216,4.50122937583249,3.20934344526095
"AACS",1.6110944060471,1.46121478278135,1.66064610733846,2.49446962337682
"AACSP1",0.0423693158786295,0.0367934590270669,0.079299932564236,0.0883410383284089
"AADACL2",0.0628870331022709,0.0336872690648862,0.077152193795636,0.0565236701840653
"AADACL2-AS1",0.0127025673908805,0.00515963982198543,0.0377892251112152,0.0105142092381221
"AADACL3",0.202714484072948,0.130188549498986,0.150933882616835,0.00319576700081955
"AADACL4",0.188357972988525,0.141335796851398,0.165329573727224,0.00380973110862762
"AADAT",2.43687757974889,2.24161383058705,2.35738383635454,2.16722274575266
"AAED1",2.66895035349273,2.13274096309617,3.09461235357556,1.56438301211138
"AAGAB",2.51238412464118,2.13284846560827,2.79053423449128,2.46123881847612
"AAK1",1.59017075938538,1.53560787606535,1.69621073472831,2.61120566800213
"AAMDC",0.401994966431204,0.354860357835634,0.343565834798188,0.319183953340553
"AAMP",6.82358610524306,6.59414419797513,6.94552503730231,5.88652377895486
"AANAT",0.5095764006265,0.50127606169897,0.672100923941982,0.473310419540668
"AAR2",3.17950314742404,2.7943201443505,3.3888590163539,1.9136839598474
"AARD",0.317649700070893,0.24716127386027,0.256327314647536,0.806287661904903
"AARS",5.44462599893772,5.33656390321631,5.34233715338106,5.11519836012622
"AASDH",2.06823478162534,1.83447310306886,2.08389916222686,1.60621472554923
"AASDHPPT",1.61833781561809,1.51308095469911,1.4392933557033,1.28748205704343
"AASS",2.44963849891852,2.25093327990005,2.45528195471753,1.33294797882467
"AATBC",0.796885887283142,0.702414587907745,0.981001666408576,0.893630436941354
"AATF",2.10266212228497,1.85612632399103,2.31507275413872,1.3325655403351
"AATK",3.3487958023564,3.6895154624388,2.73514080347399,4.52193432401288
"ABAT",2.66001660769852,2.97743588260942,2.20833339549335,1.8202938890038
"ABBA01006766.1",0.101491241045101,0.0278322995714656,0.0336776311079813,0.0458453150770159
"ABCA1",2.98056165514127,2.64938746250215,3.16279979688226,1.01734359645002
"ABCA10",0.19748100850465,0.125304398573751,0.254640815336035,0.935218442922001
"ABCA13",0.118365542214658,0.0665516363197601,0.224792340943741,0.0334965211932718
"ABCA17P",0.368395900706249,0.412854938414975,0.367581930699146,0.757811006820459
"ABCA2",6.52438786553019,6.67612356187708,6.26248805107383,7.19806511965256
"ABCA3",4.18012414865626,4.13806958341085,4.05926532678562,3.60027344600582
"ABCA4",0.209230380509871,0.112730200719921,0.201726048175329,0.0950189331636745
"ABCA5",1.12459733398384,0.750676764502767,1.26066720408296,2.37827315307494
"ABCA6",0.431966769453978,0.329145159223281,0.487476298339481,0.926959711571989
"ABCA7",2.04789167013411,1.87349220406657,2.50193774038439,2.54192864904429
"ABCA8",1.97162053777502,1.84177485747243,1.99489766028992,2.09056168439987
"ABCB1",0.928435992220459,0.86191386813759,0.756093566800814,0.812228754286788
"ABCB10",2.01130126960951,1.68225894816843,2.04373005456438,1.84630369145892
"ABCB10P1",0.159805235990575,0.110725304393542,0.122727340925891,0.205469819104587
"ABCB11",0.0787885920350868,0.0412934072032124,0.0906392520313668,0.0147878699404147
"ABCB4",0.547782743304245,0.322962277548548,0.710603878931989,0.153190420831727
"ABCB5",0.0485208233710655,0.0258218754934683,0.0863696871054161,0.0166614224966043
"ABCB7",1.4723712352894,1.26843874978296,1.62627756747005,0.968308409867886
"ABCB8",4.01816197269504,3.78482959793678,4.23231506822964,3.68855133023171
"ABCB9",1.22807045997518,1.02380242081769,1.45700623698194,2.00701942029668
"ABCC1",1.15414163699201,0.833506587009663,1.51956085550561,0.679971284113112
"ABCC10",3.04969981662273,2.76353476246396,3.23828937732202,2.88947599305632
"ABCC11",0.216335714347675,0.190597239466882,0.204074694807669,0.107728502768799
"ABCC12",0.213210568957617,0.142858597275246,0.134424238845392,0.53396861224653
"ABCC3",1.40929528876686,0.689560209008193,2.65048365252903,0.309972283675413
"ABCC4",0.685264888656383,0.650881135677789,0.697221849647534,0.33736784593561
"ABCC5",2.71595416408119,2.52611156636184,2.75516599002161,3.07194482005674
"ABCC6",0.349412513112984,0.322776117097632,0.406977427384571,0.222565828590708
"ABCC6P1",0.30944966111184,0.27027514184636,0.437721680725936,0.234403075499012
"ABCC6P2",0.633199599774731,0.671328724778997,0.679859836240237,0.156679597138967
"ABCC8",1.41762993236123,2.25119244735631,0.90240159761761,2.38526702388857
"ABCC9",1.01772372694261,0.913371749094665,1.01105984535983,0.88330260387297
"ABCD1",1.6320502080138,1.27160821118684,1.93507410334046,0.570968916493114
"ABCD2",1.13253898168336,0.873796454924807,1.02807097315034,1.23164176223519
"ABCD3",2.64852341557206,2.34704573940727,2.80225035238805,1.78590138735446
"ABCD4",3.8531695276726,3.62950391267667,3.94099525917422,3.21267725324805
"ABCE1",1.74378773017259,1.43874899009567,1.72432708145511,0.830659903158019
"ABCF1",4.62381465723364,4.25573893119054,4.89818740835406,3.2876267757164
"ABCF2",4.75204897452896,4.35349002661564,4.99871903704357,4.00963396531455
"ABCF2P1",0.277445501307611,0.248235065718029,0.209529547960782,0.31246243390314
"ABCF3",5.64991485433495,5.38399793458992,5.85532331995287,5.13058513985955
"ABCG1",1.95153396138001,1.98426624739543,1.98972468698113,1.17524364971658
"ABCG2",1.76745002155326,1.69666757401965,1.48703114128644,1.09917857636301
"ABCG4",1.28473074043787,1.27973889631059,1.09319957392966,2.99796948199307
"ABCG5",0.308729473989903,0.210272541497453,0.258883401337959,0.364648557562035
"ABHD1",1.45863551959537,1.44918053921231,1.40450433418581,1.42532047388042
"ABHD10",4.2733221018787,4.14646067251371,4.27142531846822,3.93955100304171
"ABHD11",5.1564696471389,4.98740759613505,5.62005340642555,4.46917378735437
"ABHD11-AS1",0.366531270867875,0.230028179912203,0.561261274118874,0.357630644929101
"ABHD12",2.96088256350152,2.83794231455376,3.00894586221478,2.77894775831567
"ABHD13",3.2864026865708,2.96618905237308,3.32707703079753,2.97355456723932
"ABHD17A",6.14562951830721,5.88135016652936,6.31805517064676,5.81628588885629
"ABHD17AP4",0.166113671608993,0.0620932282739841,0.0703561308545449,0.332760336504953
"ABHD17AP6",0.027055191931451,0.0187256652311048,0.0596789814626852,0.244823470906746
"ABHD17B",2.42826188621563,2.33220838225399,2.16074106642226,2.3901053029175
"ABHD17C",1.81608442776933,1.74958375443683,1.80007037142176,1.32271722615518
"ABHD18",1.20137162435805,1.09392310835745,1.24575620132557,1.33203580524691
"ABHD2",3.58506499430629,3.34722304739423,3.5927334238598,2.57533683413693
"ABHD3",1.72551033936109,1.55907052755653,1.8419805926591,1.19598951591216
"ABHD4",5.07785561317932,4.93905706249905,5.11733038374987,2.71024232404501
"ABHD5",2.84328303514791,2.64507149671615,2.94433020738613,1.82626070650484
"ABHD6",2.50828881287606,2.61148031433947,2.25404691572665,2.37683065502932
"ABHD8",1.45055585810857,1.50461106729707,1.67089907935664,2.41764892780543
"ABI1",2.85347645191216,2.86738217352084,2.66673531632664,2.38841534861752
"ABI2",0.701698825965455,0.649244949275077,0.696754268087869,0.686570419501778
"ABI3",2.82798823000614,2.31696030659692,3.39770742399221,1.29520233348948
"ABI3BP",0.972385515349752,1.04334901268806,0.908659443398747,0.401833794031314
"ABL1",2.77475152690596,2.51264487842101,2.95085896044416,1.64570945521545
"ABL2",1.9888993143701,1.86670398438215,2.12328328626137,1.60591012730429
"ABLIM1",2.74133556738566,2.90670984443335,2.46354917243847,2.49084927013954
"ABLIM2",0.566754604059575,0.647986320130123,0.557388603968908,1.84195108506276
"ABO",0.467744567024924,0.366961810678983,0.471426792929041,0.787480667609568
"ABR",3.08417932175558,3.19049235173663,3.08355639682063,3.44037650684989
"ABRA",0.328722463154514,0.228115219622185,0.200479680601355,0.373926995689708
"ABRACL",2.1571995609221,1.48395737966211,2.59736831418828,2.30832624052345
"ABRAXAS1",0.404247498552534,0.343239446221992,0.398412437981475,0.385632789803172
"ABRAXAS2",2.3245491135437,2.18896553452904,2.36693598119327,2.06697502859962
"ABT1",5.08036044238395,4.66108073305612,5.44318894977656,3.94736904051101
"ABTB1",4.35527069396343,4.17756420318248,4.70218095957883,5.56708150232659
"ABTB2",0.828993543424775,0.867346666803796,0.753963437920731,0.735138830406086
"AC000036.1",0.0980891128813639,0.0697819772505073,0.0865633172100659,0.15818183075074
"AC000058.1",0.0911377805882691,0.043522933625688,0.0893827207729166,0.325100186699846
"AC000067.1",0.492120569151343,0.133991441535245,1.01193133289621,0.14901612304108
"AC000068.1",1.57038892359027,1.5776158243621,1.3411086747804,0.947534587672805
"AC000077.1",0.0665018220927879,0.0349434026002769,0.101082257417301,0.00272527860441794
"AC000403.1",1.05631294969549,1.15988615167255,1.20376164155073,2.26547217819827
"AC002056.1",0.277858177270078,0.202699914566398,0.228166077852961,0.0450942961806341
"AC002064.1",0.168799887308775,0.122407940553704,0.240845796022896,0.524484521317511
"AC002069.1",0.189525535994219,0.13220075605093,0.14319309881229,0.0846327367964199
"AC002069.2",0.0174866273169266,0.0173378771811664,0.0224402455897225,0.145857892580992
"AC002074.1",0.0735021921113198,0.0195504871684072,0.138534837402602,0.0268169618937652
"AC002076.2",0.499535678909678,0.321256448121021,0.340514542137011,0.0891126304031239
"AC002091.1",0.694620241730522,0.601961307361007,0.987396346555691,0.0894651034867564
"AC002091.2",0.911648482369823,0.78668122216041,1.23131580363666,0.0975040588599159
"AC002115.1",0.0351796619115071,0.0260090475420405,0.0795449023843297,0.0199265991652184
"AC002116.2",0.627051304511285,0.549518276439903,0.703546862725345,0.519967778637306
"AC002127.2",0.10334874336954,0.0852042646697455,0.121060247559474,0.0961531479882647
"AC002310.2",0.552983209862837,0.413489729405679,0.544921391746702,0.49000039541107
"AC002310.4",1.44168527010346,1.3474870485393,1.65563023723634,1.59776459137573
"AC002310.5",0.838281460861263,0.767271078385663,0.888527066525932,0.739414397035161
"AC002347.1",0.316799885893219,0.257064312240101,0.447445612906286,0.332026121495138
"AC002375.1",0.0087027195589503,0.00565281368226507,0.0682330194496009,0.0046704352695216
"AC002378.1",0.021313415357144,0.00817135137684181,0.0615618856350134,0.00525004772324258
"AC002383.1",0.0199771229714234,0.00830121994146719,0.0266901057824223,0.120562533968255
"AC002384.1",0.0955665434173737,0.0297765026722579,0.176140539527141,0.0489282871820074
"AC002386.1",0.0118646670854146,0.00864049017204059,0.0469228862098417,0.0217624062619056
"AC002401.4",0.578555697084404,0.148596428789313,1.43469043357003,0.276738857701315
"AC002428.1",0.154798341992893,0.238130545754346,0.0914595550152047,0.0754561602973502
"AC002428.2",0.823859779095029,1.5525199604561,0.461799576405692,0.914697128793744
"AC002451.1",0.469568966858883,0.663147726337679,0.408381218050535,0.397369742459017
"AC002451.2",0.0240551026161198,0.0174846762430244,0.0452641298694675,0.126225880009525
"AC002454.1",0.11022906101643,0.0289200171420135,0.140306229639731,0.0598381046941243
"AC002460.1",0.016969638339281,0.0104400127956187,0.00935775616318193,0.130933986313095
"AC002467.1",2.90212979122216,2.86227178050866,3.03887889237892,2.42470814279148
"AC002472.1",0.149621471019191,0.15415105118735,0.0975670045618515,0.0365596995173835
"AC002486.2",0.048435684209771,0.0314324163891372,0.0497499592532611,0.0269319919037999
"AC002504.1",0.407321426260284,0.177938607945959,0.396680764312393,0.106283270775359
"AC002511.1",0.260824827325093,0.233966113021194,0.146080422311508,0.200134233405015
"AC002511.2",0.348462784215302,0.302301520366634,0.28401949398481,0.481723654303913
"AC002519.2",0.426918021426007,0.472070607443721,0.493778398619814,0.32288260052476
"AC002524.1",5.99132766842274,5.47389013818692,5.87731825341489,4.78714577799524
"AC002540.1",0.158266708388859,0.0669207120907339,0.123194771398457,0.603442710346335
"AC002984.1",0.24903037672681,0.241620802072763,0.349449161804389,0.827459576825378
"AC002996.1",0.0368367068880059,0.0426022596102428,0.0837757793594253,0.144463457716414
"AC003002.2",0.997052447480242,0.882772325657253,1.18387300581853,1.43237918451404
"AC003005.2",0.714903923679029,0.659220264544959,0.745281158091127,0.622945424268489
