"","brain_tumor","hippocampus","prefrontal_cortex","optic_chiasm"
"A1BG",0.378788526324634,0.716817928927434,0.499518536169052,0.96357816549843
"A2M",6.64997339643734,4.37757825977704,3.90084174874708,5.03898187079813
"A2M-AS1",1.1072266865831,2.77578315777837,1.88306760484016,2.31772798898143
"A2ML1",0.452293237797162,0.749062936896155,0.28676961398342,0.496290621916784
"A2ML1-AS1",0.02739982310143,0.256314183110962,0.0327477671003709,0.0603403104105608
"A2MP1",0.265238534765102,0.942098142724418,0.471484895333514,0.702616782904251
"A4GALT",1.16712549385904,1.00720712002908,0.667345825109557,1.6852500834414
"A4GNT",0.314024999207926,0.109079437948413,0.134404055559809,0.664313354265491
"AAAS",4.23940318709881,2.1498937769881,3.26395249792066,3.43435997955845
"AACS",1.58278230158553,3.26118371102829,2.51912408185405,1.60003752661521
"AACSP1",0.0568623632814203,0.303095453932495,0.0782091997745727,0.0320404653588719
"AADACL2",0.0594144449784852,0.306605279055367,0.0102425106501899,0.384063601773204
"AADACL2-AS1",0.0212881046423224,0.0153280080633634,0.00816461192638552,0.0334485795317261
"AADACL3",0.155447611832203,0,0.000660676126379235,0.0346524165700948
"AADACL4",0.162384106242143,0.00262135246581723,0.00336589223847893,0.00982019714257108
"AADAT",2.33616727911065,1.79694615109347,2.20890661874514,1.98824786936578
"AAED1",2.67771498259643,1.83050668874456,1.50534169044388,2.02455513781428
"AAGAB",2.50833559843757,3.35778711175382,2.46116875800557,1.74479887321827
"AAK1",1.61885507374691,3.79712033826325,2.58552528199777,1.95523033224297
"AAMDC",0.360298143994061,0.540978751360098,0.276469252498131,0.628695704528525
"AAMP",6.80066314624098,6.31855713376102,5.90068260812444,5.37948644257664
"AANAT",0.578803460362896,0.919025166332829,0.418072803190941,0.746447448493832
"AAR2",3.14307944831907,1.7185211440081,1.93398024853244,1.83843652150938
"AARD",0.266838432508058,1.25684481423769,0.776690026375745,0.783254985071075
"AARS",5.36306180757221,6.4512237469675,5.06232112521644,4.6491785286247
"AASDH",1.99677523652984,2.29460457147098,1.54810965954494,1.71790060126077
"AASDHPPT",1.50370581540917,2.5321512586576,1.22202043832104,1.03800914918739
"AASS",2.38549631049404,2.33416197591898,1.20193236502485,2.02555477846709
