"","brain_tumor","hippocampus","prefrontal_cortex","optic_chiasm"
"A1BG",0.407324783018783,0.407324783018783,0.407324783018783,0.407324783018783
"A2M",6.2053569204957,6.2053569204957,6.2053569204957,6.2053569204957
"A2M-AS1",1.2528780030471,1.2528780030471,1.2528780030471,1.2528780030471
"A2ML1",0.431761828998213,0.431761828998213,0.431761828998213,0.431761828998212
"A2ML1-AS1",0.0309425153892137,0.0309425153892137,0.0309425153892137,0.0309425153892137
"A2MP1",0.30782260695163,0.30782260695163,0.30782260695163,0.307822606951632
"A4GALT",1.09925722872828,1.09925722872828,1.09925722872828,1.09925722872828
"A4GNT",0.290222609802061,0.290222609802061,0.290222609802061,0.290222609802062
"AAAS",4.06553121021569,4.0655312102157,4.06553121021569,4.06553121021569
"AACS",1.73667325615899,1.73667325615899,1.73667325615899,1.73667325615899
"AACSP1",0.0621758992228557,0.0621758992228557,0.0621758992228557,0.0621758992228562
"AADACL2",0.0589264881078158,0.0589264881078158,0.0589264881078158,0.0589264881078167
"AADACL2-AS1",0.0194694931418692,0.0194694931418692,0.0194694931418692,0.0194694931418693
"AADACL3",0.129747811937392,0.129747811937392,0.129747811937392,0.129747811937392
"AADACL4",0.135617076168455,0.135617076168455,0.135617076168455,0.135617076168457
"AADAT",2.30764978754639,2.30764978754639,2.30764978754639,2.30764978754638
"AAED1",2.48978682389563,2.48978682389563,2.48978682389563,2.48978682389563
"AAGAB",2.50038575834177,2.50038575834177,2.50038575834178,2.50038575834177
"AAK1",1.78636182367234,1.78636182367235,1.78636182367235,1.78636182367235
"AAMDC",0.353358152732855,0.353358152732855,0.353358152732855,0.353358152732854
"AAMP",6.64635829140497,6.64635829140497,6.64635829140497,6.64635829140497
"AANAT",0.560996450914643,0.560996450914643,0.560996450914642,0.560996450914643
"AAR2",2.93556000525224,2.93556000525224,2.93556000525224,2.93556000525224
"AARD",0.357896358697807,0.357896358697807,0.357896358697807,0.35789635869781
