GSM2652126	GSM2652127	GSM2652129	GSM2652134	GSM2652135	GSM2652136
1424079_x_at	5	5	129	5	32	101
1424080_at	18	17	16	416	80	16
1424081_at	5	12	5	59	8	367
1424082_at	75	35	248	36	35	54
1424083_at	83	103	85	440	109	131
1424084_at	6	10	6	6	18	41
1424085_at	3149	1303	3073	3350	3406	3231
1424086_at	225	72	226	6	4	4
1424087_at	126	19	37	183	57	24
1424088_at	156	16	83	127	564	353
1424089_a_at	3546	5254	5692	10683	6895	5839
1424090_at	5	5	5	6	5	5
1424091_at	8	99	7	66	63	10
1424092_at	197	352	19	704	818	952
1424093_x_at	113	324	119	8	8	12
1424094_at	648	159	324	936	1052	945
1424095_at	74	197	60	329	389	210
1424096_at	6	6	6	6	6	7
1424097_at	19	1398	6	6	6	6
1424098_at	54	690	56	76	10	10
1424099_at	1438	59	79	375	373	83
1424100_s_at	776	139	2638	37	37	37
1424101_at	616	332	320	1367	2318	1645
1424102_at	748	48	470	121	197	147
1424103_at	61	24	75	16	55	23
1424104_at	259	1125	261	449	344	174
1424105_a_at	3090	1667	2675	440	1712	213
1424106_at	154	11	87	9	27	19
1424107_at	5	6	5	5	87	120
1424108_at	1394	895	967	887	960	909
1424109_a_at	298	124	1607	894	444	28
1424110_a_at	773	270	538	3161	2812	2978
1424111_at	39	28	12	109	56	136
1424112_at	7	5	4	7	6	5
1424113_at	6	7	7	6	6	8
1424114_s_at	7	7	7	7	7	7
1424115_at	30	268	64	51	60	15
1424116_x_at	43	164	23	43	44	10
1424117_at	328	278	197	257	505	260
1424118_a_at	5	10	5	1230	1466	872
1424119_at	18	15	13	29	44	119
1424120_at	199	191	29	512	477	571
1424121_at	855	1203	86	1071	1756	3438
1424122_s_at	354	1859	115	392	830	405
1424123_at	5	5	5	5	5	5
1424124_at	72	116	40	107	5	31
1424125_at	5	5	5	5	5	5
1424126_at	8	52	35	148	28	7
1424127_at	5	5	5	5	5	5
1424128_x_at	5	5	5	263	268	364
1424129_at	55	107	231	192	83	56
1424130_a_at	6	6	6	6	6	5
1424131_at	4	4	4	4	4	4
1424132_at	56	53	35	162	52	52
1424133_at	760	404	1610	806	903	193
1424134_at	139	1295	115	56	116	16
1424135_at	51	133	135	497	278	127
1424136_a_at	30	64	31	1733	904	660
1424137_at	5	5	5	60	125	17
1424138_at	256	11	11	10	10	11
1424139_at	1314	1633	282	422	941	675
1424140_at	6	5	6	7	6	6
1424141_at	421	177	63	285	496	442
1424142_at	6	7	59	61	149	6
1424143_a_at	4	34	4	1773	3246	755
1424144_at	5	5	5	242	433	105
1424145_at	51	296	36	1092	280	67
1424146_at	9945	11245	8751	2701	893	1106
1424147_at	1218	48	213	714	1358	434
1424148_a_at	220	5	5	5	5	5
1424149_at	115	49	156	534	906	1185
1424150_at	165	378	37	26	22	27
1424151_at	776	393	59	87	423	310
1424152_at	5	5	5	5	5	5
1424153_s_at	5	5	5	5	5	5
1424154_a_at	281	515	698	1011	2492	162
1424155_at	5	5	5	5	5	5
1424156_at	5	5	5	147	116	630
1424157_at	12	12	11	12	19	4
1424158_at	5	5	5	5	5	5
1424159_at	20	5	111	4	4	5
1424160_at	280	203	456	346	250	504
1424161_at	9	56	32	1231	351	1038
1424162_at	5	223	5	5	5	5
1424163_at	94	468	67	130	107	347
1424164_at	258	92	497	552	185	632
1424165_a_at	166	308	414	9	403	262
1424166_at	7	5	5	34	60	5
1424167_a_at	1138	573	2412	182	160	224
1424168_a_at	1759	1512	727	1751	2062	1982
1424169_at	5	5	57	5	8	12
1424170_at	365	321	400	1269	1790	373
1424171_a_at	255	452	61	29	237	374
1424172_at	125	191	68	378	69	727
1424173_at	13	57	54	66	183	153
1424174_at	50	152	137	679	66	49
1424175_at	460	156	225	155	166	116
1424176_a_at	26	6	29	6	25	79
1424177_at	1084	588	1998	271	404	728
1424178_at	128	14	341	25	11	15
1424179_at	7	24	8	97	56	112
1424180_a_at	99	8	217	22	39	6
1424181_at	5	5	5	5	41	5
1424182_at	346	262	591	266	596	1064
1424183_at	767	86	298	1555	1659	1522
1424184_at	2439	1610	2402	353	262	168
1424185_a_at	3366	1308	2690	2328	1708	3131
1424186_at	629	424	324	53	24	32
1424187_at	312	10	59	113	61	10
1424188_at	373	509	427	231	359	315
1424189_at	82	35	36	12	10	4
1424190_at	27	61	5	5	5	85
1424191_a_at	33	29	29	40	44	33
1424192_at	125	127	142	185	124	100
1424193_at	22	10	10	20	10	24
1424194_at	4	4	4	4	4	4
1424195_a_at	17	15	15	17	13	15
1424196_at	413	436	1252	35	194	14
1424197_s_at	4	4	4	4	6	24
1424198_at	109	496	338	424	111	37
1424199_at	7	22	197	264	133	61
1424200_s_at	100	572	1757	717	804	380
1424201_a_at	38	141	44	513	432	128
1424202_at	5	32	5	125	51	205
1424203_at	142	10	25	9	34	10
1424204_at	103	204	236	749	1274	1400
1424205_at	378	1067	573	1268	2052	1850
1424206_at	458	234	9	2346	2870	3306
1424207_at	270	11	243	1456	1366	1334
1424208_at	5	5	5	5	5	5
1424209_at	72	14	5	18	37	5
1424210_at	234	200	8	322	264	262
1424211_at	405	168	718	77	35	5
1424212_at	42	457	47	43	14	17
1424213_at	70	70	37	121	40	26
1424214_at	71	10	8	6	8	6
1424215_at	190	130	206	27	113	137
1424216_a_at	225	251	239	490	764	1613
1424217_at	96	291	11	204	98	131
1424218_a_at	5	6	6	5	5	10
1424219_at	347	24	39	12	62	230
1424220_a_at	273	250	470	107	93	7
1424221_at	6	5	10	5	5	5
1424222_s_at	1234	1257	2496	765	1577	3156
1424223_at	223	416	32	159	32	10
1424224_at	168	219	136	586	135	117
1424225_at	358	81	1782	156	79	57
1424226_at	108	136	84	56	20	6
1424227_at	895	298	341	109	352	925
1424228_at	138	64	26	32	23	9
1424229_at	5	5	8	20	76	129
1424230_at	6	9	8	7	7	31
1424231_s_at	54	5	5	7	5	5
1424232_a_at	5	5	5	5	5	12
1424233_at	6	7	6	6	6	6
1424234_s_at	5	5	5	5	5	5
1424235_at	110	49	527	168	184	189
1424236_at	133	9	5	149	51	29
1424237_at	158	65	103	107	84	53
1424238_at	49	64	10	7	71	14
1424239_at	177	5	5	5	5	132
1424240_at	75	146	49	67	198	80
1424241_at	1306	117	1015	180	148	147
1424242_at	83	7	47	5	7	5
1424243_at	417	254	2282	526	610	837
1424244_at	81	7	10	29	151	69
1424245_at	5	5	5	5	5	5
1424246_a_at	5	5	5	5	5	5
1424247_at	19	15	5	5	8	16
1424248_at	613	64	31	5	5	7
1424249_a_at	4	5	6	4	5	5
1424250_a_at	9	6	6	6	6	6
1424251_a_at	1522	398	68	2612	3800	4158
1424252_at	28	104	7	135	65	203
1424253_at	1040	111	892	295	405	401
1424254_at	14	68	5	5	5	7
1424255_at	221	6	27	372	574	469
1424256_at	5	6	5	6	5	5
1424257_at	18	125	5	202	177	479
1424258_at	52	20	29	110	130	29
1424259_at	170	7	112	15	7	7
1424260_at	5	5	5	5	5	5
1424261_at	22	146	453	48	37	140
1424262_at	5	5	10	5	9	58
1424263_at	4	92	65	88	128	660
1424264_at	109	10	96	187	76	417
1424265_at	9	15	6	5	11	59
1424266_s_at	5	5	5	5	5	5
1424267_at	47	50	71	50	49	51
1424268_at	1060	1141	563	106	58	7
1424269_a_at	1602	1102	2142	2156	1645	1683
1424270_at	759	2934	2373	491	433	337
1424271_at	995	1975	1496	477	612	386
1424272_at	5	5	5	5	5	5
1424273_at	5	5	5	5	5	5
1424274_at	670	392	48	785	129	221
1424275_s_at	9	40	5	48	19	85
1424276_at	9	7	43	5	9	182
1424277_at	94	14	25	69	56	31
1424278_a_at	4	6	6	470	1922	558
1424279_at	5	5	5	5	5	5
1424280_at	338	27	57	29	62	65
1424281_at	33	6	145	225	260	321
1424282_at	593	32	290	69	188	22
1424283_at	312	446	146	45	154	31
1424284_at	66	22	14	86	82	63
1424285_s_at	334	89	15	336	814	249
1424286_at	48	325	72	90	23	18
1424287_at	24	63	355	115	155	151
1424288_at	73	19	57	70	75	178
1424289_at	1005	6	147	31	64	67
1424290_at	11	9	7	5	5	6
1424291_at	8	90	8	758	884	1131
1424292_at	5	6	6	17	142	7
1424293_s_at	599	1484	624	1105	502	181
1424294_at	54	183	18	87	267	36
1424295_at	5	5	5	5	5	5
1424296_at	1466	46	176	26	215	122
1424297_at	7	86	9	73	9	10
1424298_at	6	6	6	6	6	6
1424299_at	54	373	26	42	47	11
1424300_at	6	6	5	6	147	114
1424301_at	538	268	308	451	639	363
1424302_at	5	5	5	5	5	5
1424303_at	5	5	7	5	7	5
1424304_at	5	5	5	5	5	5
1424305_at	5	5	5	5	5	5
1424306_at	1723	96	649	158	116	440
1424307_at	251	786	167	98	361	167
1424308_at	115	186	176	13	5	6
1424309_a_at	1978	2512	1116	2522	1270	2106
1424310_at	52	10	10	9	10	10
1424311_at	308	282	59	199	252	35
1424312_at	247	17	27	11	19	91
1424313_a_at	9228	1585	2650	1481	3305	600
1424314_at	150	484	98	530	808	379
1424315_at	101	33	36	309	421	185
1424316_at	104	15	51	22	17	20
1424317_at	50	34	5	5	5	11
1424318_at	514	338	724	265	104	339
1424319_at	17	53	74	53	66	46
1424320_a_at	25	8	12	14	14	107
1424321_at	6	45	6	133	592	598
1424322_at	5	5	7	5	5	5
1424323_at	403	10	6	1129	1580	869
1424324_at	277	440	59	79	67	22
1424325_at	196	1173	1224	34	255	177
1424326_at	526	225	137	120	120	121
1424327_at	95	404	61	1200	1704	584
1424328_s_at	25	245	201	73	913	1025
1424329_a_at	6	7	32	9	6	7
1424330_at	459	63	167	680	1513	898
1424331_at	56	78	242	5	55	192
1424332_at	5	5	5	11	5	5
1424333_at	55	13	7	111	14	6
1424334_at	6	6	6	6	6	6
1424335_at	6	8	41	6	6	7
1424336_at	5	5	45	5	5	8
1424337_at	72	18	11	20	19	10
1424338_at	4	4	4	4	4	91
1424339_at	4	5	4	4	4	5
1424340_at	5	5	5	27	8	6
1424341_s_at	58	5	6	5	10	151
1424342_at	67	183	402	324	629	269
1424343_a_at	9	154	6	22	65	34
1424344_s_at	27	5	5	115	82	190
1424345_s_at	19	39	10	82	23	33
1424346_at	215	498	723	225	347	1103
1424347_at	244	228	254	308	183	156
1424348_at	52	291	148	70	99	215
1424349_a_at	19	15	10	33	54	17
1424350_s_at	26	82	105	26	45	1105
1424351_at	5	5	5	5	5	5
1424352_at	4	4	4	4	4	4
1424353_at	99	412	61	554	428	1278
1424354_at	9	6	6	6	5	5
1424355_a_at	214	19	562	588	291	71
1424356_a_at	15	8	9	4	5	5
1424357_at	5	5	5	5	5	5
1424358_at	380	93	612	122	390	35
1424359_at	654	335	82	6	16	16
1424360_at	11	12	159	11	122	66
1424361_at	102	5	5	7	5	9
1424362_at	53	7	8	6	14	7
1424363_at	6	6	6	6	6	6
1424364_a_at	1234	914	1948	1357	1768	2044
1424365_at	2953	1310	2068	3636	2773	2033
1424366_at	756	690	737	28	259	417
1424367_a_at	30	17	10	716	779	320
1424368_s_at	1209	772	2510	653	2001	1753
1424369_at	13	5	5	5	71	5
1424370_s_at	276	60	9	70	326	5
1424371_at	5	5	24	5	5	5
1424372_at	311	827	126	464	1031	1613
1424373_at	496	94	232	286	149	260
1424374_at	6	6	6	6	6	6
1424375_s_at	5	5	5	5	5	5
1424376_at	24	24	45	38	22	24
1424377_at	2512	793	2139	3276	3585	3196
1424378_at	5	5	5	5	5	5
1424379_at	322	19	12	5	52	12
1424380_at	260	5	188	338	441	613
1424381_at	318	70	631	520	376	1179
1424382_at	184	46	50	1149	89	228
1424383_at	803	233	54	42	61	10
1424384_a_at	44	44	82	175	257	197
1424385_at	546	11	287	530	458	285
1424386_at	429	23	612	490	237	24
1424387_at	5	5	5	5	5	5
1424388_at	506	485	322	960	1538	664
1424389_at	52	78	32	65	115	282
1424390_at	9	25	5	177	95	266
1424391_at	108	230	53	1218	265	178
1424392_at	1762	1978	923	617	388	138
1424393_s_at	4408	3133	2155	1407	497	336
1424394_at	2520	64	751	172	465	235
1424395_at	3050	4335	4286	2592	2270	757
1424396_a_at	5495	2274	1667	2280	1594	1379
1424397_at	305	147	16	36	38	50
1424398_at	117	354	116	257	631	140
1424399_at	47	6	12	6	11	18
1424400_a_at	891	1566	1304	273	24	9
1424401_at	5	21	5	5	5	5
1424402_at	53	6	41	25	86	62
1424403_a_at	574	1288	815	956	1204	1530
1424404_at	69	6	67	5	6	4
1424405_at	13	8	72	103	13	24
1424406_at	17	46	17	54	36	31
1424407_s_at	856	1763	311	386	802	132
1424408_at	5	5	6	5	5	5
1424409_at	5	5	5	5	5	5
1424410_at	193	149	42	44	70	41
1424411_at	911	765	1012	69	36	10
1424412_at	135	43	279	23	47	27
1424413_at	391	184	172	38	60	48
1424414_at	83	100	6	5	258	44
1424415_s_at	191	51	431	218	44	292
1424416_at	20	21	20	20	22	20
1424417_at	5	37	11	6	5	87
1424418_at	9	92	15	5	10	10
1424419_at	19	10	6	6	6	92
1424420_at	439	40	50	225	201	265
1424421_at	10	8	8	164	16	10
1424422_s_at	24	25	9	9	40	9
1424423_at	5	11	16	5	5	5
1424424_at	1163	1616	1150	495	763	941
1424425_a_at	8	121	9	384	91	731
1424426_at	5	459	4	222	32	152
1424427_at	61	446	138	360	287	165
1424428_at	304	253	469	1005	684	1283
1424429_s_at	8	8	8	8	16	8
1424430_at	35	11	35	116	184	23
1424431_at	25	27	25	28	35	101
1424432_at	4	4	4	4	4	4
1424433_at	13	36	159	8	4	8
1424434_at	7	7	8	7	9	8
1424435_a_at	198	440	17	1153	73	497
1424436_at	57	296	66	344	220	408
1424437_s_at	150	391	321	24	20	27
1424438_a_at	412	435	657	3907	263	151
1424439_at	5	5	5	5	5	5
1424440_at	160	81	136	117	253	388
1424441_at	115	158	47	10	24	84
1424442_a_at	2299	2860	1842	639	1345	854
1424443_at	27	12	44	112	135	45
1424444_a_at	18	18	6	5	5	6
1424445_at	5	5	5	5	5	5
1424446_at	5	39	5	24	6	5
1424447_at	6	7	7	7	16	12
1424448_at	4	4	4	4	4	4
1424449_at	26	32	11	21	25	21
1424450_at	23	5	5	5	5	5
1424451_at	5	5	5	5	5	5
1424452_at	27	13	21	22	50	29
1424453_at	17	13	6	425	77	4
1424454_at	335	228	634	198	120	353
1424455_at	570	20	105	481	526	319
1424456_at	13	14	200	398	28	11
1424457_at	4	5	17	4	4	5
1424458_at	55	40	81	36	92	95
1424459_at	82	56	697	93	226	255
1424460_s_at	388	245	347	477	425	285
1424461_at	861	462	562	867	644	842
1424462_at	27	89	74	197	275	327
1424463_at	302	51	8	121	23	195
1424464_s_at	150	169	17	12	144	29
1424465_at	113	206	366	1211	842	2290
1424466_at	396	11	804	1228	2013	2011
1424467_at	21	44	24	19	11	7
1424468_s_at	365	520	192	94	67	6
1424469_a_at	7	6	14	428	398	185
1424470_a_at	5466	3862	3085	420	403	4052
1424471_at	42	28	11	8	8	10
1424472_at	173	240	139	763	217	168
1424473_at	244	108	183	1581	1649	673
1424474_a_at	392	5	6	11	6	7
1424475_at	5	6	6	5	5	6
1424476_at	6	5	5	5	5	5
1424477_at	5	5	5	5	5	5
1424478_at	361	365	447	44	459	10
1424479_at	5	5	5	5	5	5
1424480_s_at	633	512	476	306	188	88
1424481_s_at	6	6	6	6	5	41
1424482_at	9	5	5	5	5	5
1424483_at	19	94	6	292	77	178
1424484_at	1013	32	225	649	649	157
1424485_at	5	6	5	5	5	5
1424486_a_at	5	109	15	612	705	1023
1424487_x_at	4	159	13	177	204	240
1424488_a_at	517	900	333	389	594	616
1424489_a_at	54	49	36	71	134	65
1424490_at	220	12	28	308	452	131
1424491_at	5	5	5	5	5	5
1424492_at	330	30	181	1445	1099	324
1424493_s_at	5	6	6	6	5	6
1424494_s_at	4	4	4	4	5	4
1424495_a_at	238	950	30	49	76	5
1424496_at	37	500	34	101	171	101
1424497_at	577	1171	126	206	281	402
1424498_at	496	46	56	1802	560	21
1424499_s_at	69	30	18	161	113	17
1424500_at	85	50	167	185	269	293
1424501_at	9	115	202	109	242	338
1424502_at	5	5	5	5	5	5
1424503_at	135	188	13	124	293	149
1424504_at	26	15	27	81	160	9
1424505_at	36	15	6	10	28	5
1424506_at	6	6	18	6	13	6
1424507_at	6	6	6	6	6	6
1424508_at	98	364	422	184	170	385
1424509_at	5	5	5	5	5	5
1424510_at	98	21	8	7	7	5
1424511_at	6	12	5	1248	1387	494
1424512_a_at	339	42	1134	192	322	143
1424513_at	97	1123	82	59	53	234
1424514_at	507	87	273	599	948	1511
1424515_at	49	146	347	398	180	188
1424516_at	150	971	3852	2112	1389	933
1424517_at	170	6	234	23	103	110
1424518_at	5	5	5	5	5	5
1424519_at	57	7	32	11	31	7
1424520_at	6	6	6	6	6	6
1424521_at	63	66	191	98	97	100
1424522_at	4	8	8	12	53	589
1424523_at	290	5	11	5	5	12
1424524_at	6	5	5	5	5	5
1424525_at	5	5	5	5	5	5
1424526_a_at	13	477	37	17	117	10
1424527_at	6	22	31	20	76	54
1424528_at	6	6	6	6	5	6
1424529_s_at	5	5	5	5	5	6
1424530_at	4347	1882	732	85	121	11
1424531_a_at	5	7	6	6	5	7
1424532_at	229	787	49	282	804	137
1424533_a_at	6	5	6	19	6	21
1424534_at	7227	7693	7204	1548	1389	787
1424535_at	68	52	152	41	18	16
1424536_at	6	7	7	6	5	7
1424537_at	5	5	5	5	5	5
1424538_at	52	18	124	536	324	259
1424539_at	525	484	87	777	707	395
1424540_at	128	148	267	701	413	288
1424541_at	435	167	289	260	290	143
1424542_at	96	34	77	79	53	95
1424543_at	118	24	6	9	100	87
1424544_at	1396	2077	736	564	218	92
1424545_at	1467	412	587	2443	1715	657
1424546_at	6	226	11	12	46	18
1424547_at	5	6	6	5	5	6
1424548_at	40	85	178	41	54	38
1424549_at	62	5	5	5	5	5
1424550_at	24	49	7	28	8	17
1424551_at	26	6	152	12	6	6
1424552_at	5	5	5	5	5	5
1424553_at	187	38	39	8	8	8
1424554_at	53	64	55	52	352	3090
1424555_at	13	12	39	61	36	91
1424556_at	5	5	5	100	104	574
1424557_at	359	231	201	730	696	1111
1424558_a_at	5	5	5	5	5	5
1424559_at	32	62	23	18	25	10
1424560_at	6	6	6	7	5	6
1424561_at	5	5	5	5	42	5
1424562_a_at	5380	4604	8376	3908	2597	3142
1424563_at	36	5	110	5	5	5
1424564_at	94	875	312	54	129	197
1424565_at	4	58	4	4	6	4
1424566_s_at	12	160	16	17	16	17
1424567_at	358	509	34	34	6	151
1424568_at	797	2039	412	70	42	27
1424569_at	19	12	19	53	487	593
1424570_at	59	460	13	207	350	409
1424571_at	24	47	174	26	97	138
1424572_a_at	486	944	342	1288	884	3298
1424573_at	233	462	253	83	38	20
1424574_at	597	1495	375	55	130	90
1424575_at	287	808	141	1107	473	209
1424576_s_at	5	5	5	5	5	5
1424577_at	114	14	81	92	41	28
1424578_at	7	7	7	7	7	7
1424579_at	95	671	16	229	1277	484
1424580_at	441	1248	398	777	728	350
1424581_at	4	4	4	4	4	4
1424582_at	17	37	8	5	5	6
1424583_at	7	10	11	76	13	10
1424584_a_at	63	82	98	36	38	59
1424585_at	8	5	5	5	5	6
1424586_at	152	75	638	256	254	173
1424587_at	6	4	4	4	12	5
1424588_at	494	156	633	191	268	260
1424589_s_at	79	108	31	35	48	48
1424590_at	10	14	4	10	19	10
1424591_at	47	16	15	98	418	449
1424592_a_at	5	5	5	5	5	5
1424593_at	8	4	15	4	4	5
1424594_at	36	5	5	5	5	41
1424595_at	9	5	5	24	5	5
1424596_s_at	12	33	33	9	5	5
1424597_at	335	223	220	365	48	18
1424598_at	792	244	807	1336	1179	1184
1424599_at	5	6	6	6	6	6
1424600_at	4	4	4	4	4	4
1424601_at	203	10	24	407	91	98
1424602_s_at	77	12	23	101	40	79
1424603_at	109	194	382	119	272	156
1424604_s_at	1207	1858	1581	366	1478	628
1424605_at	4	5	5	52	4	5
1424606_at	4	4	4	4	4	4
1424607_a_at	1212	2291	3913	2335	1950	1267
1424608_a_at	3626	844	4870	3406	2607	1974
1424609_a_at	1264	2399	4064	2439	2040	1222
1424610_at	2248	154	348	1152	1310	3016
1424611_x_at	2166	183	362	1157	1395	3321
1424612_at	18	290	20	5	5	5
1424613_at	2645	1946	1640	444	355	240
1424614_at	153	349	68	32	1009	4312
1424615_at	46	312	23	35	18	50
1424616_s_at	589	277	9	385	151	575
1424617_at	151	5	5	5	5	5
1424618_at	5	5	5	5	5	5
1424619_at	51	68	489	168	169	809
1424620_at	21	14	14	68	209	257
1424621_at	637	191	528	271	291	57
1424622_at	419	12	28	56	272	138
1424623_at	5	5	5	5	5	5
1424624_at	102	6	21	6	13	6
1424625_a_at	169	194	1038	152	60	411
1424626_at	6	6	6	6	6	6
1424627_at	5	5	5	5	5	5
1424628_a_at	3984	2659	4400	1110	3505	1601
1424629_at	6	7	6	558	1357	595
1424630_a_at	5	6	5	173	277	7
1424631_a_at	5	6	6	5	5	6
1424632_a_at	28	49	49	11	105	135
1424633_at	4	4	4	4	4	4
1424634_at	165	338	262	420	207	251
1424635_at	7060	4654	3682	14544	14341	14656
1424636_at	11	12	236	20	15	10
1424637_s_at	4179	2269	2160	2027	3017	2837
1424638_at	5	5	5	22	142	100
1424639_a_at	27	85	37	89	116	5
1424640_at	2430	924	1764	436	1431	459
1424641_a_at	1668	1453	2051	1048	2316	481
1424642_at	64	904	340	228	1177	155
1424643_at	76	9	48	627	379	16
1424644_at	45	27	22	25	16	26
1424645_at	372	5	264	588	816	305
1424646_at	89	37	22	18	19	15
1424647_at	4	5	5	5	4	5
1424648_at	206	328	192	358	44	343
1424649_a_at	5	5	5	5	5	5
1424650_at	5	5	5	5	52	11
1424651_at	4	4	4	132	7	4
1424652_at	1451	1674	948	8	63	7
1424653_at	288	525	272	11	11	11
1424654_at	1520	698	5388	983	260	161
1424655_at	796	511	397	397	117	320
1424656_s_at	9	31	5	6	15	6
1424657_at	329	222	584	535	515	554
1424658_at	148	235	679	250	384	921
1424659_at	71	127	27	145	97	13
1424660_s_at	7	24	7	7	7	7
1424661_at	503	106	351	187	554	284
1424662_at	1027	1254	190	421	638	1227
1424663_at	411	1393	1449	152	453	661
1424664_at	52	168	38	214	110	120
1424665_at	532	88	65	7	34	9
1424666_at	57	367	91	234	166	153
1424667_a_at	12	131	32	287	161	95
1424668_a_at	61	18	51	279	297	440
1424669_at	330	43	538	221	192	39
1424670_s_at	902	1845	1342	134	66	352
1424671_at	5	14	87	6	5	5
1424672_at	168	483	61	19	96	47
1424673_at	6	6	6	6	6	6
1424674_at	2491	3491	3513	3995	6220	5397
1424675_at	124	249	185	1565	1107	648
1424676_s_at	5	5	5	5	5	5
1424677_at	6865	3735	4813	286	200	216
1424678_at	10	11	10	10	10	10
1424679_at	5	5	5	5	5	5
1424680_at	5	6	6	5	5	6
1424681_a_at	379	859	404	1491	1662	2007
1424682_at	107	33	55	261	106	55
1424683_at	361	375	339	7	13	5
1424684_at	207	217	230	83	96	44
1424685_at	55	55	209	54	18	18
1424686_at	5	5	5	27	26	5
1424687_at	90	9	353	17	5	29
1424688_at	5	5	5	5	5	5
1424689_at	5	5	5	5	5	5
1424690_at	8	27	10	6	9	16
1424691_at	4	5	4	4	5	5
1424692_at	14	96	11	25	9	7
1424693_at	106	12	121	276	27	22
1424694_at	965	75	1234	1734	1714	971
1424695_at	69	6	128	628	1309	362
1424696_at	184	40	37	326	50	88
1424697_at	5	5	5	13	5	5
1424698_s_at	83	300	14	64	78	288
1424699_at	341	128	414	15	209	10
1424700_at	18	49	5	5	5	5
1424701_at	54	175	130	6	17	7
1424702_a_at	6	6	6	6	6	6
1424703_at	16	28	28	26	25	29
1424704_at	5	5	5	5	5	5
1424705_at	84	7	5	21	145	110
1424706_at	6	6	102	24	10	6
1424707_at	1453	800	1139	807	690	643
1424708_at	2280	2799	2832	2837	2056	3225
1424709_at	213	290	6	4	5	4
1424710_a_at	27	168	266	61	196	93
1424711_at	51	33	19	330	365	156
1424712_at	7	5	5	97	14	210
1424713_at	5	5	5	5	5	5
1424714_at	2487	4362	1460	524	11	13
1424715_at	168	271	127	133	13	12
1424716_at	86	524	84	6	41	12
1424717_at	11	155	353	261	254	494
1424718_at	328	32	101	611	327	321
1424719_a_at	217	313	51	273	61	283
1424720_at	68	6	6	6	11	9
1424721_at	700	214	555	183	87	11
1424722_at	5	5	5	5	5	5
1424723_s_at	213	8	82	66	299	1172
1424724_a_at	19	532	47	70	36	123
1424725_at	24	67	24	26	48	29
1424726_at	5	5	5	5	5	5
1424727_at	5	6	5	5	5	6
1424728_at	26	21	69	28	40	43
1424729_at	5	5	5	5	5	5
1424730_a_at	1091	864	1266	22	91	16
1424731_at	11	7	5	5	5	5
1424732_s_at	5	42	643	5	6	11
1424733_at	5	5	5	94	5	5
1424734_at	109	31	120	29	29	31
1424735_at	29	24	32	29	24	24
1424736_at	3294	3400	1593	6713	7365	6058
1424737_at	803	766	1036	3563	2176	1416
1424738_at	13	35	27	6	8	166
1424739_at	5	5	5	5	5	5
1424740_at	153	43	60	94	130	69
1424741_s_at	98	5	176	61	37	35
1424742_at	19	27	67	301	33	22
1424743_at	480	663	111	789	448	2526
1424744_at	5	5	5	5	4	5
1424745_at	63	159	44	532	392	65
1424746_at	801	1221	943	113	244	185
1424747_at	5	46	7	5	5	5
1424748_at	6	21	12	21	9	12
1424749_at	29	5	5	4	9	117
1424750_at	46	459	27	13	219	362
1424751_at	6	40	12	32	72	138
1424752_x_at	568	317	203	307	438	2701
1424753_at	5	5	5	5	5	31
1424754_at	5	5	5	5	5	5
1424755_at	280	495	695	1264	675	1313
1424756_at	16	100	35	27	14	6
1424757_at	48	22	50	140	53	518
1424758_s_at	5	5	5	5	5	5
1424759_at	5	13	5	5	5	5
1424760_a_at	98	70	133	282	663	361
1424761_at	5	5	5	5	5	5
1424762_at	405	37	150	5	8	5
1424763_at	1390	435	93	20	134	7
1424764_at	152	5	5	5	5	5
1424765_at	5	77	15	10	91	6
1424766_at	5	5	5	143	253	13
1424767_at	81	5	5	5	5	106
1424768_at	76	31	34	13	35	30
1424769_s_at	296	199	635	13	215	7
1424770_at	22	19	22	682	22	26
1424771_at	4965	3660	8504	2001	2567	4433
1424772_at	5	5	5	5	101	6
1424773_at	12	7	6	11	11	11
1424774_s_at	5	5	5	51	11	1054
1424775_at	13	6	6	6	5	6
1424776_a_at	175	208	22	53	397	45
1424777_at	23	5	5	68	13	5
1424778_at	628	1125	1418	181	209	32
1424779_at	992	1074	832	80	600	12
1424780_a_at	326	1462	618	577	393	80
1424781_at	504	629	565	206	405	182
1424782_at	86	96	169	30	81	17
1424783_a_at	237	153	6	72	5	5
1424784_at	6	6	6	6	6	6
1424785_at	5	5	5	128	5	5
1424786_s_at	143	687	399	101	11	12
1424787_a_at	32	40	35	38	84	42
1424788_at	5	5	8	11	14	8
1424789_at	13	14	114	29	13	14
1424790_at	8	4	4	4	4	4
1424791_a_at	4	4	4	4	4	4
1424792_at	5	6	3541	153	7	6
1424793_a_at	6	6	6	6	5	6
1424794_at	4	5	5	5	4	5
1424795_a_at	5	5	5	5	5	5
1424796_at	11	9	9	33	121	77
1424797_a_at	5	5	5	5	5	5
1424798_a_at	5	5	5	5	5	6
1424799_a_at	13	191	9	10	9	9
1424800_at	1750	1313	1044	1923	1764	2239
1424801_at	569	68	465	212	456	144
1424802_a_at	651	984	845	1044	1399	1121
1424803_at	19	25	13	27	23	137
1424804_at	6	5	5	5	11	5
1424805_a_at	19	14	14	12	55	31
1424806_s_at	468	369	98	626	268	220
1424807_at	6	14	5	5	5	5
1424808_at	5	5	5	5	5	5
1424809_at	4	4	4	4	4	4
1424810_at	17	24	17	17	32	18
1424811_at	667	1511	1044	30	41	6
1424812_at	240	316	97	15	148	101
