GSM2652126	GSM2652127	GSM2652129	GSM2652134	GSM2652135	GSM2652136
1415803_at	157	5	5	4	4	5
1415804_at	604	6	6	7	5	5
1415805_at	5	6	6	5	5	6
1415806_at	146	5	6	5	5	5
1415807_s_at	132	139	182	624	906	643
1415808_at	5	6	5	5	5	6
1415809_at	5	5	5	5	5	5
1415810_at	5	5	5	1686	1947	872
1415811_at	5	5	5	927	812	54
1415812_at	276	334	80	5	9	6
1415813_at	4071	2228	1556	3923	3771	3999
1415814_at	971	873	513	849	383	351
1415815_at	5	5	5	6	7	5
1415816_at	9203	233	2149	9168	9222	6792
1415817_s_at	778	292	747	2736	2290	1543
1415818_at	499	68	213	36	53	22
1415819_a_at	1099	972	2622	2755	2175	1341
1415820_x_at	3327	2226	2152	8188	6752	6026
1415821_at	2828	2054	921	383	396	67
1415822_at	7853	11102	9093	4327	3640	3392
1415823_at	3808	11029	6179	2769	2780	3151
1415824_at	3592	4839	4124	1480	1428	1651
1415825_s_at	40	111	15	111	99	34
1415826_at	253	160	310	394	231	287
1415827_a_at	123	1203	566	389	385	277
1415828_a_at	262	561	235	836	927	425
1415829_at	71	242	8	1008	1339	595
1415830_at	17	30	29	123	298	69
1415831_at	986	218	220	1447	1165	1615
1415832_at	5	6	6	5	5	6
1415833_x_at	8819	3612	5778	14454	17029	16010
1415834_at	342	752	813	48	79	92
1415835_at	5	6	6	5	5	6
1415836_at	32	5	5	95	450	981
1415837_at	5	6	6	6	6	6
1415838_at	4652	8206	7241	1395	1179	1632
1415839_a_at	641	522	416	4641	5712	6559
1415840_at	8655	11088	9135	1557	2566	3507
1415841_at	822	654	520	491	842	552
1415842_at	17	72	47	16	33	114
1415843_at	130	6	184	16	9	25
1415844_at	49	6	6	7	34	28
1415845_at	58	26	9	23	117	221
1415846_a_at	5	5	5	5	6	5
1415847_at	5	5	5	5	50	5
1415848_at	6	6	6	6	5	6
1415849_s_at	4283	9131	7569	15780	16570	15896
1415850_at	1306	489	245	265	344	60
1415851_a_at	663	185	210	2089	2356	1229
1415852_at	872	240	350	1678	1458	1384
1415853_at	9	12	12	12	12	13
1415854_at	57	6	181	960	308	128
1415855_at	9	7	5	58	39	86
1415856_at	5	5	5	5	5	5
1415857_at	4	5	5	5	5	5
1415858_at	922	611	442	1451	1381	1208
1415859_at	2409	1571	4545	5585	5604	6596
1415860_at	41	24	160	2143	2990	2079
1415861_at	5	5	5	5	5	5
1415862_at	5	5	5	5	5	5
1415863_at	2841	2997	5325	4790	5591	5496
1415864_at	1161	3443	928	2914	336	17
1415865_s_at	2049	1549	2341	695	456	179
1415866_at	45	6	6	6	13	16
1415867_at	1082	123	1273	1161	2429	1782
1415868_at	27	51	26	123	180	511
1415869_a_at	1733	1189	834	2705	3138	858
1415870_at	552	410	524	1014	760	1228
1415871_at	5	5	5	5	5	5
1415872_at	2237	3370	2609	7254	8118	7034
1415873_a_at	1155	907	1089	1080	1767	870
1415874_at	4	4	9	4	4	4
1415875_at	7	5	5	1157	1318	1099
1415876_a_at	1492	497	1507	6382	7256	5878
1415877_at	5	5	5	210	320	117
1415878_at	296	29	293	6603	6499	4792
1415879_a_at	10697	2256	10022	26243	26523	24257
1415880_a_at	9402	9174	6863	3602	2451	2570
1415881_at	923	763	643	544	894	489
1415882_at	1057	594	411	705	932	845
1415883_a_at	5	5	5	5	5	6
1415884_at	8	6	8	8	8	19
1415885_at	1004	151	6	58	138	20
1415886_at	5	5	5	5	5	5
1415887_at	588	1101	1115	864	1018	803
1415888_at	90	46	150	2980	3093	3190
1415889_a_at	4514	2991	1993	3338	3211	3343
1415890_at	535	265	101	260	400	280
1415891_at	700	391	529	183	406	358
1415892_at	325	7	38	173	32	13
1415893_at	438	61	130	5	42	87
1415894_at	31	30	42	15	15	6
1415895_at	1859	339	674	530	479	529
1415896_x_at	1138	232	442	418	283	250
1415897_a_at	1982	1320	997	166	244	14
1415898_at	5	5	5	5	5	5
1415899_at	6	6	6	6	6	6
1415900_a_at	5	5	5	5	5	5
1415901_at	63	33	136	247	70	36
1415902_at	58	15	12	5	5	6
1415903_at	164	306	6	778	1371	652
1415904_at	219	5	5	11	12	67
1415905_at	5	5	5	5	5	5
1415906_at	4297	3885	839	15415	16552	14772
1415907_at	221	823	25	133	57	826
1415908_at	327	129	411	239	238	25
1415909_at	243	217	42	809	1124	1670
1415910_s_at	206	429	564	45	336	176
1415911_at	51	25	30	8	16	42
1415912_a_at	619	120	463	3392	4128	4252
1415913_at	5	5	5	5	5	5
1415914_at	553	657	661	6526	6046	6300
1415915_at	1126	366	875	2515	3053	2369
1415916_a_at	940	747	198	1222	1343	569
1415917_at	305	323	104	641	607	494
1415918_a_at	600	161	1037	214	285	97
1415919_at	688	754	350	117	418	12
1415920_at	456	919	190	110	418	183
1415921_a_at	327	267	638	1072	1316	975
1415922_s_at	28	283	90	2171	2068	1908
1415923_at	770	501	123	467	564	305
1415924_at	7	7	7	7	9	8
1415925_a_at	326	10	9	883	2436	1808
1415926_at	73	12	16	1622	3204	789
1415927_at	60	5	5	5	5	5
1415928_a_at	6382	4579	1670	4246	3232	1105
1415929_at	1149	759	983	974	539	384
1415930_a_at	5767	2385	4508	2258	3453	2832
1415931_at	399	7	210	7	7	121
1415932_x_at	315	25	92	36	25	29
1415933_a_at	3510	3039	3018	4047	2912	3838
1415934_at	185	53	96	301	657	214
1415935_at	5	5	5	5	5	5
1415936_at	721	101	538	279	17	266
1415937_s_at	31	346	71	68	77	23
1415938_at	5	6	5	5	5	6
1415939_at	6	6	6	6	6	6
1415940_at	180	57	65	743	309	16
1415941_s_at	404	247	1107	412	254	412
1415942_at	574	301	1668	5906	5683	3752
1415943_at	7	8	8	546	145	781
1415944_at	4	5	5	4	4	8
1415945_at	5	5	5	1042	1119	445
1415946_at	115	47	110	20	37	142
1415947_at	1004	195	408	140	111	23
1415948_at	399	1690	471	164	53	16
1415949_at	11604	14179	11218	6452	6828	6709
1415950_a_at	4754	4596	3647	9078	8462	8201
1415951_at	1474	668	145	12	42	11
