"","TAPbyQNP","AveExpr","F","P.Value","adj.P.Val"
"Mt-atp6",8.178436387183,12.1151096555749,15.4609700473723,8.42266430563292e-05,0.617078125026841
"Mt-atp8",7.9869902750589,12.4078054157928,14.7456014012738,0.000123034218926695,0.617078125026841
"Ngfr",-7.37022799621956,4.13875173485331,12.5561942107848,0.000394895157815101,0.697190462343416
"Nog",-7.36055331126319,4.11467335725833,12.523251541037,0.000401918833502516,0.697190462343416
"Mt-nd1",7.3308939388692,10.3193172288485,12.4225299179179,0.000424185210157042,0.697190462343416
"Snrpe",7.225804179668,8.80381137550845,12.0689240598546,0.000512692811224499,0.697190462343416
"Sparc",-7.16466605410225,5.8212675070053,11.8655557479105,0.000571817040764155,0.697190462343416
"Mt-co1",7.05667521056175,11.74190081755,11.5105595755313,0.000692019425837403,0.697190462343416
"Rps25",7.02463217432461,6.96450254787318,11.4062623348899,0.000731969472025223,0.697190462343416
"Hist1h2bl",7.01450171143419,5.52493828840603,11.37338733315,0.000745038826912257,0.697190462343416
"Mt-co3",6.97707923359665,11.2335535728181,11.252356643514,0.000795219875499873,0.697190462343416
"AC128960.1",6.94960185765105,10.2063264788733,11.1639023200301,0.000834043021445618,0.697190462343416
"Tnfrsf12a",-6.86101075134771,4.60233527320754,10.8810893991605,0.000971510865975552,0.749632730507751
"RF00069",6.80371517313502,6.66643034032604,10.7001145552549,0.00107128901085933,0.767578576280713
"AC099089.1",-6.73360261942164,8.65238168826372,10.4807206348709,0.00120626695877329,0.774748553978368
"AY172581.9",6.7192498848658,12.1812821439669,10.4360887516232,0.00123576680925669,0.774748553978368
"Etfrf1",6.67833884651007,6.0141104406341,10.3093926292612,0.00132354835959766,0.780971387948478
"RF00612",6.63456318969397,7.14227476675033,10.1746820864888,0.00142382246351899,0.786474310747736
"AABR07071891.2",-6.59087936962802,7.74215308553257,10.0411372803664,0.00153082663309198,0.786474310747736
"AC103090.1",-6.57632642476722,4.78467675340234,9.99684371029365,0.00156808755009019,0.786474310747736
"Anxa1",-6.43396096717836,3.6125210609963,9.56870184468892,0.00197922688824706,0.945410710286014
"Mt-cyb",6.3023619834054,9.9099385701016,9.181272263465,0.00244504003282541,0.999980049953172
"Ppp1r15a",-6.26362490772366,4.99580875088972,9.06875488289095,0.00260014056438192,0.999980049953172
"Sox9",-6.26051009268796,3.53244115554564,9.05973758989081,0.00261299475692008,0.999980049953172
"Hexim1",-6.2512882225879,5.9391654009268,9.03306685918843,0.00265139286238216,0.999980049953172
"Gabarap",-6.23191154093487,6.4139780746878,8.97715531289947,0.0027337592105161,0.999980049953172
"Mir378b",6.17131551454301,3.08565775727151,8.80342523321939,0.00300665544254937,0.999980049953172
"LOC690468",6.13516086264056,7.65528504344597,8.70057765123052,0.00318109226028428,0.999980049953172
"AABR07058976.1",6.04471179722733,7.00187559725931,8.44592804421936,0.00365861688737245,0.999980049953172
"Ahnak",-6.02331335758132,5.79735957476335,8.38623626944688,0.00378072968653301,0.999980049953172
"LOC100361854",5.978475595955,8.3929484049701,8.26184609178059,0.00404869360003148,0.999980049953172
"Smpd1",-5.91279102826917,5.06301726755667,8.08130018721097,0.00447243459175691,0.999980049953172
"AC134224.2",-5.88619539306096,6.90987621281226,8.00876458057988,0.00465514851871931,0.999980049953172
"Trmt112",-5.88338098717014,7.04912820333999,8.00110784337385,0.00467487389974596,0.999980049953172
"AY172581.24",5.87836017823275,11.5494685292546,7.98745756552059,0.00471025134495305,0.999980049953172
