"","QNP","TAP","No_data","No_data","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector","QNP","TAP","No_data","No_data","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector"
"QNP",1,0.766338300955247,0.953859387056662,0.953859387056662,1,0.766338300955247,NA,0,0,0,0,0
"TAP",0.766338300955247,1,0.92387312496177,0.92387312496177,0.766338300955247,1,0,NA,0,0,0,0
"No_data",0.953859387056662,0.92387312496177,1,1,0.953859387056662,0.92387312496177,0,0,NA,0,0,0
"No_data",0.953859387056662,0.92387312496177,1,1,0.953859387056662,0.92387312496177,0,0,0,NA,0,0
"HCN_cells_in_iQNP_electroporated_with_empty_vector",1,0.766338300955247,0.953859387056662,0.953859387056662,1,0.766338300955247,0,0,0,0,NA,0
"HCN_cells_in_TAP_electroporated_with_empty_vector",0.766338300955247,1,0.92387312496177,0.92387312496177,0.766338300955247,1,0,0,0,0,0,NA
