"","QNP","TAP","No_data","No_data","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector"
"1700020N01Rik",1.01573152990697,1.9356635619603,1.47569754593364,1.47569754593364,1.01573152990697,1.9356635619603
"1700092M07Rik",3.80036575861786,1.60754125820025,2.70395350840905,2.70395350840905,3.80036575861786,1.60754125820025
"AA926063",0.666924285170645,3.56057002256454,2.1137471538676,2.1137471538676,0.666924285170645,3.56057002256454
"AABR07000147.1",0.851698098130844,1.47232321175,1.16201065494042,1.16201065494042,0.851698098130844,1.47232321175
"AABR07000156.1",0.861315948487245,4.17226980427068,2.51679287637896,2.51679287637896,0.861315948487245,4.17226980427068
"AABR07000158.1",0.895258839412041,2.40015527762771,1.64770705851988,1.64770705851988,0.895258839412041,2.40015527762771
"AABR07000173.1",0.97705820605817,1.68914968248032,1.33310394426925,1.33310394426925,0.97705820605817,1.68914968248032
"AABR07000200.1",0.772189419967761,1.58020347159153,1.17619644577965,1.17619644577965,0.772189419967761,1.58020347159153
"AABR07000276.1",1.62768276010409,0.775221383754955,1.20145207192952,1.20145207192952,1.62768276010409,0.775221383754955
"AABR07000382.1",1.49109657749046,3.49033258556227,2.49071458152637,2.49071458152637,1.49109657749046,3.49033258556227
"AABR07000385.2",1.50701696471187,2.41159831836398,1.95930764153792,1.95930764153792,1.50701696471187,2.41159831836398
"AABR07000398.1",3.21717629849665,3.91427840142355,3.5657273499601,3.5657273499601,3.21717629849665,3.91427840142355
"AABR07000433.1",1.00593242512903,1.39549444800052,1.20071343656478,1.20071343656478,1.00593242512903,1.39549444800052
"AABR07000436.1",2.16684027815347,2.01145565290597,2.08914796552972,2.08914796552972,2.16684027815347,2.01145565290597
"AABR07000452.1",0.702174907688434,1.39517652179439,1.04867571474141,1.04867571474141,0.702174907688434,1.39517652179439
"AABR07000484.1",0.846469100330711,1.44576179475816,1.14611544754444,1.14611544754444,0.846469100330711,1.44576179475816
"AABR07000493.1",1.03245180527904,1.6608960354418,1.34667392036042,1.34667392036042,1.03245180527904,1.6608960354418
"AABR07000534.1",1.94745225973661,1.01944332198048,1.48344779085854,1.48344779085854,1.94745225973661,1.01944332198048
"AABR07000629.3",2.7548321673977,1.45707363895111,2.10595290317441,2.10595290317441,2.7548321673977,1.45707363895111
"AABR07000740.2",0.50730195093563,2.6794123184521,1.59335713469387,1.59335713469387,0.50730195093563,2.6794123184521
"AABR07000747.1",0.96412969436598,1.30988065214759,1.13700517325678,1.13700517325678,0.96412969436598,1.30988065214759
"AABR07000765.2",1.02321052241638,3.14042990936828,2.08182021589233,2.08182021589233,1.02321052241638,3.14042990936828
"AABR07000978.1",1.65584361363892,3.19851784286275,2.42718072825084,2.42718072825084,1.65584361363892,3.19851784286275
"AABR07000989.1",4.97924051302717,7.00417268232598,5.99170659767657,5.99170659767657,4.97924051302717,7.00417268232598
"AABR07001048.1",2.54260812136094,1.1414979793405,1.84205305035072,1.84205305035072,2.54260812136094,1.1414979793405
"AABR07001099.1",0.77041285807647,3.71240966487239,2.24141126147443,2.24141126147443,0.77041285807647,3.71240966487239
"AABR07001099.2",1.42201393455002,3.22469958648605,2.32335676051804,2.32335676051804,1.42201393455002,3.22469958648605
"AABR07001100.1",0.709290221405315,0.758830328335585,0.73406027487045,0.73406027487045,0.709290221405315,0.758830328335585
"AABR07001348.1",1.50920233383569,2.54192080211642,2.02556156797605,2.02556156797605,1.50920233383569,2.54192080211642
"AABR07001358.1",0.764248069159349,1.62487158932945,1.1945598292444,1.1945598292444,0.764248069159349,1.62487158932945
"AABR07001382.1",3.02836639845138,4.02347284081334,3.52591961963236,3.52591961963236,3.02836639845138,4.02347284081334
"AABR07001435.1",6.0237596159732,9.51585845437865,7.76980903517592,7.76980903517592,6.0237596159732,9.51585845437865
"AABR07001444.1",1.96134427582608,3.59110080929003,2.77622254255805,2.77622254255805,1.96134427582608,3.59110080929003
"AABR07001452.1",0,3.78168788406061,1.89084394203031,1.89084394203031,0,3.78168788406061
"AABR07001493.1",1.02550960294332,2.44852709249444,1.73701834771888,1.73701834771888,1.02550960294332,2.44852709249444
"AABR07001497.1",1.03899971862729,1.74708598175368,1.39304285019049,1.39304285019049,1.03899971862729,1.74708598175368
"AABR07001512.1",4.99496772947924,7.27826679773978,6.13661726360951,6.13661726360951,4.99496772947924,7.27826679773978
"AABR07001519.1",1.18325672120624,2.72960045452873,1.95642858786748,1.95642858786748,1.18325672120624,2.72960045452873
"AABR07001555.1",2.65682108280348,0,1.32841054140174,1.32841054140174,2.65682108280348,0
"AABR07001573.1",0.859902162317294,2.07128241379417,1.46559228805573,1.46559228805573,0.859902162317294,2.07128241379417
"AABR07001591.1",2.36785990210593,2.64375678494687,2.5058083435264,2.5058083435264,2.36785990210593,2.64375678494687
"AABR07001592.2",1.57182637830504,3.4564195606701,2.51412296948757,2.51412296948757,1.57182637830504,3.4564195606701
"AABR07001599.1",2.71369137016482,4.46763039991967,3.59066088504225,3.59066088504225,2.71369137016482,4.46763039991967
"AABR07001610.1",0.828818289528071,2.53968043123108,1.68424936037958,1.68424936037958,0.828818289528071,2.53968043123108
"AABR07001634.1",2.191960866509,4.19972918265907,3.19584502458403,3.19584502458403,2.191960866509,4.19972918265907
"AABR07001662.1",4.07246014638999,5.76293452811947,4.91769733725473,4.91769733725473,4.07246014638999,5.76293452811947
"AABR07001700.1",1.10097321352972,3.01090698921617,2.05594010137294,2.05594010137294,1.10097321352972,3.01090698921617
"AABR07001734.1",3.77129872545092,5.10659043529365,4.43894458037228,4.43894458037228,3.77129872545092,5.10659043529365
"AABR07001799.1",0.647891839799553,1.11114839662426,0.879520118211908,0.879520118211908,0.647891839799553,1.11114839662426
"AABR07001807.1",1.92604369388685,3.29069862617245,2.60837116002965,2.60837116002965,1.92604369388685,3.29069862617245
"AABR07001896.1",4.29334774467519,5.43280242484989,4.86307508476254,4.86307508476254,4.29334774467519,5.43280242484989
"AABR07001905.1",0.566125871225758,0.696883821500653,0.631504846363205,0.631504846363205,0.566125871225758,0.696883821500653
"AABR07001905.2",2.0726582331944,3.73656283113417,2.90461053216429,2.90461053216429,2.0726582331944,3.73656283113417
"AABR07001910.1",2.79936673059609,3.88437152150207,3.34186912604908,3.34186912604908,2.79936673059609,3.88437152150207
"AABR07001923.1",6.39892698370723,7.53945648272649,6.96919173321686,6.96919173321686,6.39892698370723,7.53945648272649
"AABR07001926.1",1.44981922946975,3.24625560252623,2.34803741599799,2.34803741599799,1.44981922946975,3.24625560252623
"AABR07001926.2",0.765892321356068,2.56063705165135,1.66326468650371,1.66326468650371,0.765892321356068,2.56063705165135
"AABR07001926.3",5.64771803015164,7.36970614749818,6.50871208882491,6.50871208882491,5.64771803015164,7.36970614749818
"AABR07001929.1",1.51840287710639,3.07607829406862,2.29724058558751,2.29724058558751,1.51840287710639,3.07607829406862
"AABR07001942.1",0.745634406068976,2.42876393016334,1.58719916811616,1.58719916811616,0.745634406068976,2.42876393016334
"AABR07002010.1",2.49301256089706,0.79983582798123,1.64642419443914,1.64642419443914,2.49301256089706,0.79983582798123
"AABR07002065.2",3.51069081214324,0.77787933090109,2.14428507152216,2.14428507152216,3.51069081214324,0.77787933090109
"AABR07002247.1",3.59826911708939,4.83956729811577,4.21891820760258,4.21891820760258,3.59826911708939,4.83956729811577
"AABR07002258.1",0.906041911673401,2.27462971683632,1.59033581425486,1.59033581425486,0.906041911673401,2.27462971683632
"AABR07002337.1",1.0565173031181,2.852138457617,1.95432788036755,1.95432788036755,1.0565173031181,2.852138457617
"AABR07002351.2",1.71251700940469,2.78642044894887,2.24946872917678,2.24946872917678,1.71251700940469,2.78642044894887
"AABR07002473.1",0.694343414442516,0.910553143687074,0.802448279064795,0.802448279064795,0.694343414442516,0.910553143687074
"AABR07002493.1",2.38512659984247,0.742373244425135,1.5637499221338,1.5637499221338,2.38512659984247,0.742373244425135
"AABR07002564.1",6.14168502658159,6.62356262152506,6.38262382405333,6.38262382405333,6.14168502658159,6.62356262152506
"AABR07002674.1",3.72469048021199,5.17848641712296,4.45158844866748,4.45158844866748,3.72469048021199,5.17848641712296
"AABR07002768.1",7.05186767984074,6.77206763623376,6.91196765803725,6.91196765803725,7.05186767984074,6.77206763623376
"AABR07002774.1",2.93281006086384,1.99371021478278,2.46326013782331,2.46326013782331,2.93281006086384,1.99371021478278
"AABR07002774.2",3.33457980857473,3.10825670839553,3.22141825848513,3.22141825848513,3.33457980857473,3.10825670839553
"AABR07002774.3",3.34323099026227,1.21011745332336,2.27667422179282,2.27667422179282,3.34323099026227,1.21011745332336
"AABR07002774.4",5.94894164970533,5.79080425488316,5.86987295229425,5.86987295229425,5.94894164970533,5.79080425488316
"AABR07002784.1",4.36910345121844,4.38877744964091,4.37894045042967,4.37894045042967,4.36910345121844,4.38877744964091
"AABR07002784.2",3.5433530472534,1.46854362837509,2.50594833781425,2.50594833781425,3.5433530472534,1.46854362837509
"AABR07002868.1",2.72184266976093,1.89258808648321,2.30721537812207,2.30721537812207,2.72184266976093,1.89258808648321
"AABR07002882.1",0.600629242505893,0.5018884365259,0.551258839515897,0.551258839515897,0.600629242505893,0.5018884365259
"AABR07002898.1",1.0337322562153,3.11208850301047,2.07291037961289,2.07291037961289,1.0337322562153,3.11208850301047
"AABR07002928.2",1.13987955239322,0.751275571596727,0.945577561994972,0.945577561994972,1.13987955239322,0.751275571596727
"AABR07002945.1",2.07851229316374,1.0969202796591,1.58771628641142,1.58771628641142,2.07851229316374,1.0969202796591
"AABR07003030.1",2.91572467183703,0,1.45786233591851,1.45786233591851,2.91572467183703,0
"AABR07003030.2",2.68205748675551,1.47610905100415,2.07908326887983,2.07908326887983,2.68205748675551,1.47610905100415
"AABR07003176.1",4.56168583245328,4.07951542680394,4.32060062962861,4.32060062962861,4.56168583245328,4.07951542680394
"AABR07003235.1",0.993377345739382,1.55474519345141,1.2740612695954,1.2740612695954,0.993377345739382,1.55474519345141
"AABR07004229.1",2.78538101063298,0.66126918362694,1.72332509712996,1.72332509712996,2.78538101063298,0.66126918362694
"AABR07004232.1",4.19208849458619,2.46554529315131,3.32881689386875,3.32881689386875,4.19208849458619,2.46554529315131
"AABR07004259.1",2.89396396098994,1.04796812928996,1.97096604513995,1.97096604513995,2.89396396098994,1.04796812928996
"AABR07004269.3",4.52921721408712,3.53023139794284,4.02972430601498,4.02972430601498,4.52921721408712,3.53023139794284
"AABR07004269.4",2.07084505641539,0,1.0354225282077,1.0354225282077,2.07084505641539,0
"AABR07004292.1",1.83213222236686,0.6629649556476,1.24754858900723,1.24754858900723,1.83213222236686,0.6629649556476
"AABR07004304.1",2.2585244760558,0.635342277056685,1.44693337655624,1.44693337655624,2.2585244760558,0.635342277056685
"AABR07004404.1",1.36722085743255,0.55492008583682,0.961070471634683,0.961070471634683,1.36722085743255,0.55492008583682
"AABR07004812.1",2.56180402652536,1.41550440238307,1.98865421445422,1.98865421445422,2.56180402652536,1.41550440238307
"AABR07004812.2",3.86491476545187,5.26599809047114,4.56545642796151,4.56545642796151,3.86491476545187,5.26599809047114
"AABR07005506.1",1.89663614683943,0.62784578315301,1.26224096499622,1.26224096499622,1.89663614683943,0.62784578315301
"AABR07005535.1",3.46365389294143,2.23646076143162,2.85005732718652,2.85005732718652,3.46365389294143,2.23646076143162
"AABR07005564.1",1.39688371467104,0.55118695325649,0.974035333963764,0.974035333963764,1.39688371467104,0.55118695325649
"AABR07005569.1",3.45736065112404,4.93709573842893,4.19722819477649,4.19722819477649,3.45736065112404,4.93709573842893
"AABR07005581.1",1.31393172825027,2.50524199845149,1.90958686335088,1.90958686335088,1.31393172825027,2.50524199845149
"AABR07005588.1",7.99262494400756,6.99051706077028,7.49157100238892,7.49157100238892,7.99262494400756,6.99051706077028
"AABR07005618.1",7.58653003520535,2.86982938682769,5.22817971101652,5.22817971101652,7.58653003520535,2.86982938682769
"AABR07005633.1",5.21591604372308,1.05429219595663,3.13510411983986,3.13510411983986,5.21591604372308,1.05429219595663
"AABR07005752.1",1.91661327546709,0.650351944569825,1.28348261001846,1.28348261001846,1.91661327546709,0.650351944569825
"AABR07005779.2",3.18612417506821,1.70850870406276,2.44731643956549,2.44731643956549,3.18612417506821,1.70850870406276
"AABR07005779.3",4.05117258186082,0.848710126172375,2.4499413540166,2.4499413540166,4.05117258186082,0.848710126172375
"AABR07005779.4",2.64599219351702,0.896068317816255,1.77103025566664,1.77103025566664,2.64599219351702,0.896068317816255
"AABR07005779.6",1.0485842638272,0.577485244434875,0.813034754131036,0.813034754131036,1.0485842638272,0.577485244434875
"AABR07005794.1",1.92078193413245,0.54915949579795,1.2349707149652,1.2349707149652,1.92078193413245,0.54915949579795
"AABR07005821.1",0.634870666812007,0.689298881171927,0.662084773991967,0.662084773991967,0.634870666812007,0.689298881171927
"AABR07005838.1",4.94712196312886,1.0903165310787,3.01871924710378,3.01871924710378,4.94712196312886,1.0903165310787
"AABR07005985.2",1.7750671238132,0.817559720056921,1.29631342193506,1.29631342193506,1.7750671238132,0.817559720056921
"AABR07006038.1",2.3329370498785,2.28210567949872,2.30752136468861,2.30752136468861,2.3329370498785,2.28210567949872
"AABR07006097.1",1.13600434338285,0.523797142269115,0.829900742825981,0.829900742825981,1.13600434338285,0.523797142269115
"AABR07006160.1",5.22477360825798,1.22958963986045,3.22718162405921,3.22718162405921,5.22477360825798,1.22958963986045
"AABR07006258.2",5.27702860261599,1.59893065970045,3.43797963115822,3.43797963115822,5.27702860261599,1.59893065970045
"AABR07006269.1",0.946867858516485,1.24787781452752,1.097372836522,1.097372836522,0.946867858516485,1.24787781452752
"AABR07006310.1",0.851644078174683,0.50708361802469,0.679363848099687,0.679363848099687,0.851644078174683,0.50708361802469
"AABR07006311.1",0.580762340834416,0.814558422473242,0.697660381653828,0.697660381653828,0.580762340834416,0.814558422473242
"AABR07006333.1",2.70387883489634,8.13051702976763,5.41719793233199,5.41719793233199,2.70387883489634,8.13051702976763
"AABR07006451.1",1.11224106581469,0.66810857076258,0.890174818288636,0.890174818288636,1.11224106581469,0.66810857076258
"AABR07006458.1",4.09689017837203,3.20168844783181,3.64928931310192,3.64928931310192,4.09689017837203,3.20168844783181
"AABR07006480.1",2.12844701324006,1.24809605050397,1.68827153187201,1.68827153187201,2.12844701324006,1.24809605050397
"AABR07006627.2",2.05000251799977,0,1.02500125899989,1.02500125899989,2.05000251799977,0
"AABR07006656.2",0.802483610125878,0.54437399621397,0.673428803169924,0.673428803169924,0.802483610125878,0.54437399621397
"AABR07006860.1",3.90229949880383,1.86188122414289,2.88209036147336,2.88209036147336,3.90229949880383,1.86188122414289
"AABR07006860.2",5.80635945713743,2.07809220783355,3.94222583248549,3.94222583248549,5.80635945713743,2.07809220783355
"AABR07006873.1",2.54419595159299,0.974215988345467,1.75920596996923,1.75920596996923,2.54419595159299,0.974215988345467
"AABR07006894.1",2.37387550277488,0.374524067034134,1.37419978490451,1.37419978490451,2.37387550277488,0.374524067034134
"AABR07006957.1",2.42681634354188,1.23228136168655,1.82954885261421,1.82954885261421,2.42681634354188,1.23228136168655
"AABR07007000.1",7.27258786229946,2.19311117932843,4.73284952081394,4.73284952081394,7.27258786229946,2.19311117932843
"AABR07007032.1",2.52770313515364,0.743697888825998,1.63570051198982,1.63570051198982,2.52770313515364,0.743697888825998
"AABR07007055.1",3.64798327056447,0.684429939873565,2.16620660521902,2.16620660521902,3.64798327056447,0.684429939873565
"AABR07007068.1",3.17410177346089,0.454858272061936,1.81448002276141,1.81448002276141,3.17410177346089,0.454858272061936
"AABR07007121.1",5.74345223884345,2.42616948397142,4.08481086140743,4.08481086140743,5.74345223884345,2.42616948397142
