"","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector"
"HCN_cells_in_iQNP_electroporated_with_empty_vector",1,0.725677133467588,NA,0
"HCN_cells_in_TAP_electroporated_with_empty_vector",0.725677133467588,1,0,NA
