"","QNP","TAP","No_data","No_data","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector","QNP","TAP","No_data","No_data","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector"
"QNP",1,0.724511828844527,0.948141934391063,0.948141934391063,1,0.724511828844527,NA,0,0,0,0,0
"TAP",0.724511828844527,1,0.906020192349383,0.906020192349383,0.724511828844527,1,0,NA,0,0,0,0
"No_data",0.948141934391063,0.906020192349383,1,1,0.948141934391063,0.906020192349383,0,0,NA,0,0,0
"No_data",0.948141934391063,0.906020192349383,1,1,0.948141934391063,0.906020192349383,0,0,0,NA,0,0
"HCN_cells_in_iQNP_electroporated_with_empty_vector",1,0.724511828844527,0.948141934391063,0.948141934391063,1,0.724511828844527,0,0,0,0,NA,0
"HCN_cells_in_TAP_electroporated_with_empty_vector",0.724511828844527,1,0.906020192349383,0.906020192349383,0.724511828844527,1,0,0,0,0,0,NA
