"","QNP","TAP","No_data","No_data","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector","QNP","TAP","No_data","No_data","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector"
"QNP",1,0.483331213925932,0.871069536369159,0.871069536369159,1,0.483331213925932,NA,0,0,0,0,0
"TAP",0.483331213925932,1,0.850994760916255,0.850994760916255,0.483331213925932,1,0,NA,0,0,0,0
"No_data",0.871069536369159,0.850994760916255,1,1,0.871069536369159,0.850994760916255,0,0,NA,0,0,0
"No_data",0.871069536369159,0.850994760916255,1,1,0.871069536369159,0.850994760916255,0,0,0,NA,0,0
"HCN_cells_in_iQNP_electroporated_with_empty_vector",1,0.483331213925932,0.871069536369159,0.871069536369159,1,0.483331213925932,0,0,0,0,NA,0
"HCN_cells_in_TAP_electroporated_with_empty_vector",0.483331213925932,1,0.850994760916255,0.850994760916255,0.483331213925932,1,0,0,0,0,0,NA
