"","PSVZ","QSVZ"
"Copg1",9.86796172822348,9.5358128663261
"Trappc4",9.33701490635548,7.19246620600045
"Psmb5",9.01840484905494,8.19630719176035
"Ppm1a",8.93094640131109,7.45011976338969
"Anapc1",7.35820236922763,4.87779403272297
"Mrpl43",8.34101800938464,7.53111584067544
"Xpo7",8.78999965785054,6.21356175573646
"Nmt1",8.43185937857233,7.72919711173698
"Atg5",4.99151841776107,3.79429805629738
"Mtif2",7.42182179880682,5.74450634627666
"Mrpl27",8.1258208921314,7.41468934847687
"Wars",6.81862935166352,5.37078262309258
"Psma1",9.49489356671238,9.1293812834006
"Gps1",9.37062867782555,8.01212406138071
"LOC100044627",13.1546233235525,11.7857219127092
"Ctbp1",9.44422233388774,8.47303361557718
"Huwe1",9.82740886441531,7.61130771105799
"Cdv3",11.9082140294435,9.93786990085939
"Smim7",8.0199781685537,7.66704378897743
"Anapc2",7.88861601341759,6.866914740549
"Tug1",10.2348268716234,8.59857761017659
"Cox18",5.40439260240481,4.87190279608862
"Arfgef1",9.06588528395108,8.45015967626606
"Snrnp27",9.44002021382071,5.80139229749629
"Rps27",14.7730178740923,13.9661004397271
"Rnf220",7.7039876081505,7.1045517145171
"Mad2l1bp",3.28183001698146,2.58496250072116
"Rrn3",8.79978301367001,7.93016268244541
"Ankrd17",8.44025094181139,8.05208391551894
"Pdpk1",8.33482567371762,7.59596841812968
"Angel2",6.75525870871278,6.30626494306602
"Gm8069",8.83399552943766,7.4336766603607
"Ddb1",9.95102402875552,8.39802422217819
"Pfdn5",11.6256040288207,8.75444364568169
"Rfk",8.18733566845112,6.22666131271524
"Txndc12",8.81586286002734,8.41836157080126
"Rbm42",8.83469963612971,7.80518221131198
"Pfdn6",9.10773485414536,7.33352141902665
"Cic",6.27510525460744,5.79067664182601
"Dctn5",9.03305436035639,8.60356439432683
"Rragc",8.16024532707971,6.67829281884443
"Tbl3",4.69150593750945,3.65779282860586
"Polr2f",10.5772783279026,9.54718573662048
"Mrpl52",11.4832478798977,9.13483868178326
"Hnrnpul2",10.2385292953387,8.00803904781088
"Ythdf1",8.92799992967239,8.02656814678092
"Itch",6.54588518140321,4.8895883254108
"Wdr6",7.36470320053547,6.37601004454496
"Ncl",12.2030209383016,10.6513060171366
"Rbbp7",11.3172687520456,10.5450350702488
"Morf4l2",11.0012245889751,9.18450842448122
"LOC101056240",12.5383849987631,11.7334771878593
"Cct8",10.6883604493062,9.82688294559577
"Ganab",8.42055605772879,7.99066662488404
"Rnf34",6.63130404644185,5.90540404621162
"Spin1",9.74843354756736,9.40926665852285
"Wbp11",8.66786531113329,7.5579923953009
"Srsf2",9.44967811296643,7.26023901904082
"Uhrf1",10.4401986645867,2.58496250072116
"Api5",11.8578250887813,11.2939127486351
"Cct7",12.9416819794753,10.7549855185899
"Ppp2r1a",10.9279286525365,10.4962094328264
"Nono",12.6617089305348,11.3459178297404
"Csnk1d",6.21268933570096,5.36529906167345
"Lbr",9.83688438474947,5.72336425582899
"Orc5",7.11358666036178,4.70970882200691
"Psmd2",10.4127385752513,8.5510733402217
"Rps29",13.9092791175635,12.5684750395939
"Aldh18a1",8.4014199953568,3.32861397900112
"Npm1",12.3624425465723,9.05901535972737
"Syt4",4.34409178800832,3.67658244779801
"Stmn1",13.9293631006111,12.7804388537926
"Gm15210",10.7829603741148,8.26893415784657
"Kitl",8.3958416957571,5.35574161473685
"Eif3c",10.3467433050439,9.33472969203977
"Kpna2",11.1629347735689,5.81158067016483
"Eif4g2",12.2749894108835,11.8758792099812
"Cct4",10.7052127170523,9.16518135316871
"Trim28",10.8774488689304,10.2595220584977
"Calu",9.89659430530338,8.9780765630841
"Hnrnph1",12.772482874779,11.4595071359142
"3010003L21Rik",10.1792570028252,2.72330833381411
"Rps26",12.5541627131184,10.0617111308617
"Dpysl3",7.63595020907894,2.58496250072116
"Rrm1",12.440101282707,7.16611488524455
"Rplp2",14.6948254073799,12.6636226331899
"Hdgf",11.5433440936399,6.47497945652337
"Plod3",6.45275250861136,6.08049340436985
"Slc38a1",9.76692644781322,6.13640532211359
"Tmsb4x",13.8661226479069,11.3163903422981
"Stip1",10.1379539958716,7.07249665544221
"Gm15483",11.8710832684309,8.39857037909473
"Hnrnpab",12.5230577356082,9.3062691264728
"Ddx1",11.3194819473368,9.51729289515812
"Mthfd1",9.90847483306952,9.06626959877414
"Tnfrsf19",10.0892656501076,8.60406091347319
"Marcksl1",10.959462821376,6.50173042667333
"Nup62",10.5827040174554,5.07511936215151
"Cops8",8.42962685212653,6.68636703095505
"Zfand2a",7.34995113995214,6.52312698650743
"Gm5621",12.1977156239365,9.40927834888869
"Sdc1",8.58569421098414,3.15677331159335
"Mcm5",9.63070013421576,2.58496250072116
"Pebp1",12.9670922088299,12.1484785283223
"Rrp1",8.95635186762033,7.33175881377551
"Slc2a4",4.55571617034382,3.63962107909153
"Eif3h",11.8371614997396,10.3627818458187
"Hnrnph2",10.5818735815618,9.16070293802699
"Marcks",12.231103301943,8.63107413452337
"Carhsp1",10.1832913742569,9.46620330511238
"Tubb3",11.2204023932601,5.43545676327937
"Rpl7",12.5191289052285,11.0686187064615
"Atp5g2",11.6651323254347,9.89040866993497
"Sf3b3",10.0902124004658,8.9567751283508
"Hdlbp",8.71146905688397,5.91936981628146
"Klhdc3",8.44027919398467,8.00015954320895
"Casp6",3.5574751139905,3.18741414140702
"Txnip",9.49318959468593,5.19744192272335
"Vdac1",9.97586114912097,9.27871706041057
"Cotl1",4.26358525003944,2.87645220669321
"Ywhah",11.547767348205,10.7371355324879
"Psmc1",11.4177675713366,10.8257960148067
"Mdk",13.014831876562,11.952832614873
"Satb1",5.64596367066685,2.58496250072116
"Abce1",8.65175457831047,6.84105757881761
"Atp5g1",10.7053458074557,9.06042594014322
"Fabp3",3.46908925474824,2.94570075515055
"Cct3",11.8372356113181,10.0990124565289
"LOC102635048",11.7785416686458,9.38107265986971
"Hn1",11.1566154507165,6.19113837619147
"Klf10",7.63208796823465,4.47366364427383
"Mcm7",8.86164160086234,3.16794191266525
"Cd24a",10.6398027624416,2.97345095180503
"Cct2",11.8021904936271,9.59524371228811
"Nasp",11.4482919211017,5.83175707844899
"Smarcb1",10.4510537249205,9.80010747831058
"Prps1",7.38031223696489,3.97469006186178
"Rps5",12.6475429675902,10.4999603726345
"Sec23b",9.19375705450327,8.56876280916298
"Tbc1d15",7.93878904744896,7.33100072178412
"Hspa5",12.598744880614,12.1898637619684
"Kars",8.16808126899481,3.38511510451039
"Nup85",8.58756596063572,4.14208825156736
"Gm10051",13.8750367427903,12.2915258319208
