"","PSVZ","QSVZ","M","No_data","subventricular_zone"
"Copg1",9.86796172822348,9.5358128663261,9.70188729727479,9.70188729727479,9.70188729727479
"Atp6v0d1",9.23600331219502,11.015105673811,10.125554493003,10.125554493003,10.125554493003
"Golga7",10.0136005897759,10.5139536379931,10.2637771138845,10.2637771138845,10.2637771138845
"Psph",7.86709296699241,8.14096633159431,8.00402964929336,8.00402964929336,8.00402964929336
"Trappc4",9.33701490635548,7.19246620600045,8.26474055617797,8.26474055617797,8.26474055617797
"Dpm2",6.80584646534926,7.45897409369514,7.1324102795222,7.1324102795222,7.1324102795222
"Psmb5",9.01840484905494,8.19630719176035,8.60735602040764,8.60735602040764,8.60735602040764
"Dhrs1",8.36766171658031,8.80697254927155,8.58731713292593,8.58731713292593,8.58731713292593
"Ppm1a",8.93094640131109,7.45011976338969,8.19053308235039,8.19053308235039,8.19053308235039
"Psenen",9.71026878635452,11.3604288577297,10.5353488220421,10.5353488220421,10.5353488220421
"Anapc1",7.35820236922763,4.87779403272297,6.1179982009753,6.1179982009753,6.1179982009753
"Mrpl43",8.34101800938464,7.53111584067544,7.93606692503004,7.93606692503004,7.93606692503004
"Xpo7",8.78999965785054,6.21356175573646,7.5017807067935,7.5017807067935,7.5017807067935
"Nmt1",8.43185937857233,7.72919711173698,8.08052824515466,8.08052824515466,8.08052824515466
"Atg5",4.99151841776107,3.79429805629738,4.39290823702922,4.39290823702922,4.39290823702922
"Mtif2",7.42182179880682,5.74450634627666,6.58316407254174,6.58316407254174,6.58316407254174
"Rab14",10.1793615057524,10.1785709391957,10.178966222474,10.178966222474,10.178966222474
"Psap",6.55277337828824,12.1351985004844,9.34398593938631,9.34398593938631,9.34398593938631
"Ube2g1",5.87649015487606,8.91520175797878,7.39584595642742,7.39584595642742,7.39584595642742
"Zkscan3",5.98488346711037,8.76045711656016,7.37267029183527,7.37267029183527,7.37267029183527
"Mrpl27",8.1258208921314,7.41468934847687,7.77025512030414,7.77025512030414,7.77025512030414
