"","PSVZ","QSVZ","M","No_data","subventricular_zone","PSVZ","QSVZ","M","No_data","subventricular_zone"
"PSVZ",1,0.864894397192567,0.968610657280382,0.968610657280382,0.968610657280382,NA,0,0,0,0
"QSVZ",0.864894397192567,1,0.962523013570168,0.962523013570168,0.962523013570168,0,NA,0,0,0
"M",0.968610657280382,0.962523013570168,1,1,1,0,0,NA,0,0
"No_data",0.968610657280382,0.962523013570168,1,1,1,0,0,0,NA,0
"subventricular_zone",0.968610657280382,0.962523013570168,1,1,1,0,0,0,0,NA
