"","M"
"Copg1",9.70188729727479
"Atp6v0d1",10.125554493003
"Golga7",10.2637771138845
"Psph",8.00402964929336
"Trappc4",8.26474055617797
"Dpm2",7.1324102795222
"Psmb5",8.60735602040764
"Dhrs1",8.58731713292593
"Ppm1a",8.19053308235039
"Psenen",10.5353488220421
"Anapc1",6.1179982009753
"Mrpl43",7.93606692503004
"Xpo7",7.5017807067935
"Nmt1",8.08052824515466
"Atg5",4.39290823702922
"Mtif2",6.58316407254174
"Rab14",10.178966222474
"Psap",9.34398593938631
"Ube2g1",7.39584595642742
"Zkscan3",7.37267029183527
"Mrpl27",7.77025512030414
"Dlg1",7.98173843434971
"Canx",10.3173060772026
"Derl1",9.0606792039175
"Wars",6.09470598737805
"Psma1",9.31213742505649
"Sar1a",10.8962893360896
"G3bp2",8.84325089267833
"Golm1",7.94526700966379
"Gps1",8.69137636960313
"Ssr3",12.671285234609
"LOC100044627",12.4701726181309
"Ctbp1",8.95862797473246
"Huwe1",8.71935828773665
"Cdv3",10.9230419651514
"Smim7",7.84351097876556
"Copa",11.1209980282053
"Anapc2",7.37776537698329
"Tug1",9.41670224089999
"Gbf1",9.01516788208927
"Cox18",5.13814769924671
"Arfgef1",8.75802248010857
"Zranb1",9.87089116915167
"Ddx24",6.98897443686547
"Snrnp27",7.6207062556585
"Tmem129",7.84198330413596
"Rps27",14.3695591569097
"Rnf220",7.4042696613338
"Sap30l",7.48621691942782
"Armc1",7.55730483965633
"Mad2l1bp",2.93339625885131
"Naa60",7.45804658264188
"Vta1",8.28307329590616
"Eif5",11.8323638116694
"Cdc42",8.6394641775762
"Rrn3",8.36497284805771
"Ankrd17",8.24616742866517
"Apoa1bp",9.12849886147084
"Pabpn1",9.53934712217393
"Pdpk1",7.96539704592365
"Cpsf7",9.01844496450525
"Angel2",6.5307618258894
"Abhd16a",7.27468076328335
"Gm8069",8.13383609489918
"Rab7",10.9571130577121
"Ddb1",9.17452412546686
"Pfdn5",10.1900238372512
"Rfk",7.20699849058318
"Txndc12",8.6171122154143
"Rbm42",8.31994092372085
"Psmc5",8.99964067456611
"Tmem165",9.21140008281449
"Aup1",8.34105743646935
"Hdac5",7.08349950452451
"Pfdn6",8.220628136586
"Dscr3",8.20219472617547
"Cic",6.03289094821673
"Riok3",5.52272518536054
"Dctn5",8.81830937734161
"Rragc",7.41926907296207
"Tbl3",4.17464938305766
"Hp1bp3",11.0341853628402
"BC031181",9.28405724465498
"Abhd17a",5.5549699247571
"Polr2f",10.0622320322615
"Ube2v1",7.90299182922127
"Snapin",9.61544140637538
"Fryl",8.39114881382037
"Lamtor5",8.51155124430104
"Atox1",8.82466113950602
"Mrpl52",10.3090432808405
"Tmem234",9.69222264260965
"Zbed6",7.57582216060096
"Hnrnpul2",9.12328417157481
"Sec22b",3.34866387542229
"Ythdf1",8.47728403822665
"Ube2r2",10.8657701669788
"Itch",5.71773675340701
"Wdr6",6.87035662254022
"Ncl",11.4271634777191
"Elp2",7.52256447667476
"Rbbp7",10.9311519111472
"Aldh3a2",6.84151423272723
"Pnliprp1",2.58496250072116
"Morf4l2",10.0928665067282
"Actg1",12.234921541414
"Armcx2",5.15953796381092
"LOC101056240",12.1359310933112
"Vps35",9.39070832627965
"Cct8",10.257621697451
"Pgc",2.58496250072116
"Ganab",8.20561134130642
"Ublcp1",5.35546307975516
"Rnf34",6.26835404632673
"Rbck1",4.63065288898267
"Pnpo",2.49051070136033
"Spin1",9.5788501030451
"Dazap2",10.5091692293407
"Ddr1",9.59759264000957
"Wbp11",8.1129288532171
"Gja1",13.224099060983
"Slc16a1",8.79834499783372
"Cx3cl1",3.26612990002291
"Clps",2.69615871138938
"Plat",3.3720022187911
"Srsf2",8.35495856600363
"Tpbpa",2.65909330783331
"Uhrf1",6.51258058265393
"Gsn",5.26484190102828
"Api5",11.5758689187082
"Atp6v1b2",9.25337424674852
"Trim27",2.69120082082371
"Cct7",11.8483337490326
"Anxa6",6.42304766924752
"Ppp2r1a",10.7120690426814
"Nono",12.0038133801376
"Nptn",9.2999870953435
"Scd2",12.5342893595829
"Csnk1d",5.78899419868721
"Atp6v1h",8.03972284231881
"Serp1",8.59206470952287
"Lbr",7.78012432028923
"Orc5",5.91164774118435
"Psmd2",9.4819059577365
"Agtr2",2.69615871138938
"Rps29",13.2388770785787
"Dusp6",7.68546012607684
"Prl3b1",2.69615871138938
"Aldh18a1",5.86501698717896
"Klk1",2.77028951850153
"Serinc1",11.5862910871974
"Npm1",10.7107289531499
"Elovl5",12.2375843486235
"Dync1i2",9.30831168350759
"Mlst8",5.31601159396387
"Syt4",4.01033711790317
"Ldhc",2.62202790427723
"Prl3d1",2.77028951850153
"Stmn1",13.3549009772018
"Rasa3",8.30947970389563
"Gm15210",9.5259472659807
"Def8",3.68973206032926
"Kitl",6.87579165524698
"Emb",2.58496250072116
"Eif3c",9.84073649854182
"Kpna2",8.48725772186688
"Tyrp1",2.58496250072116
"Eif4g2",12.0754343104323
"Bpgm",9.36661136961916
"Unc45a",3.6142039852272
"Cct4",9.93519703511051
"Trim28",10.5684854637141
"Calu",9.43733543419374
"Tgfbi",2.58496250072116
"Hnrnph1",12.1159950053466
"Actr1a",10.123617867133
"Spry1",2.49256921854642
"3010003L21Rik",6.45128266831967
"Rps26",11.30793692199
"Dpysl3",5.11045635490005
"Rrm1",9.80310808397579
"Rplp2",13.6792240202849
"Lamp1",12.2816456112868
"Ghitm",9.43004156683413
"Cela3b",2.62202790427723
"Chgb",6.26692893449115
"Sh2d3c",2.58496250072116
"Tfg",9.80535792239076
"Hdgf",9.00916177508164
"Hsp90b1",11.6269067728641
"Papss1",8.11465310039103
"Suclg1",8.63866197765317
"Sgpl1",5.49652680943036
"Enpp2",4.3375612545036
"Snrpn",9.28938054911267
"Mgst1",8.45290078510031
"Junb",2.8073549220576
"Kit",2.58496250072116
"Plod3",6.2666229564906
"Aldh7a1",3.59496589313913
"Slc38a1",7.95166588496341
"Lpl",4.37453708064742
"Reg1",2.58496250072116
"Tmsb4x",12.5912564951025
"Ccnd3",7.44860552902882
"Tspyl1",7.46569375073482
"Stip1",8.6052253256569
"Ciapin1",7.82658635653962
"Impact",4.68937431944607
"Gm15483",10.1348268237628
"Hnrnpab",10.9146634310405
"Ddx1",10.4183874212474
"Mthfd1",9.48737221592183
