"","PSVZ","QSVZ","M","No_data","subventricular_zone","PSVZ","QSVZ","M","No_data","subventricular_zone"
"PSVZ",1,0.864775216586639,0.96856176244977,0.96856176244977,0.96856176244977,NA,0,0,0,0
"QSVZ",0.864775216586639,1,0.962511957086985,0.962511957086985,0.962511957086985,0,NA,0,0,0
"M",0.96856176244977,0.962511957086985,1,1,1,0,0,NA,0,0
"No_data",0.96856176244977,0.962511957086985,1,1,1,0,0,0,NA,0
"subventricular_zone",0.96856176244977,0.962511957086985,1,1,1,0,0,0,0,NA
