"","PSVZ","QSVZ","M","No_data","subventricular_zone"
"Trappc4",9.33701490635548,7.19246620600045,8.26474055617797,8.26474055617797,8.26474055617797
"Psmb5",9.01840484905494,8.19630719176035,8.60735602040764,8.60735602040764,8.60735602040764
"Ppm1a",8.93094640131109,7.45011976338969,8.19053308235039,8.19053308235039,8.19053308235039
"Anapc1",7.35820236922763,4.87779403272297,6.1179982009753,6.1179982009753,6.1179982009753
"Xpo7",8.78999965785054,6.21356175573646,7.5017807067935,7.5017807067935,7.5017807067935
"Nmt1",8.43185937857233,7.72919711173698,8.08052824515466,8.08052824515466,8.08052824515466
"Atg5",4.99151841776107,3.79429805629738,4.39290823702922,4.39290823702922,4.39290823702922
"Mrpl27",8.1258208921314,7.41468934847687,7.77025512030414,7.77025512030414,7.77025512030414
"Wars",6.81862935166352,5.37078262309258,6.09470598737805,6.09470598737805,6.09470598737805
"Psma1",9.49489356671238,9.1293812834006,9.31213742505649,9.31213742505649,9.31213742505649
"Gps1",9.37062867782555,8.01212406138071,8.69137636960313,8.69137636960313,8.69137636960313
"LOC100044627",13.1546233235525,11.7857219127092,12.4701726181309,12.4701726181309,12.4701726181309
"Ctbp1",9.44422233388774,8.47303361557718,8.95862797473246,8.95862797473246,8.95862797473246
"Huwe1",9.82740886441531,7.61130771105799,8.71935828773665,8.71935828773665,8.71935828773665
"Cdv3",11.9082140294435,9.93786990085939,10.9230419651514,10.9230419651514,10.9230419651514
"Tug1",10.2348268716234,8.59857761017659,9.41670224089999,9.41670224089999,9.41670224089999
"Arfgef1",9.06588528395108,8.45015967626606,8.75802248010857,8.75802248010857,8.75802248010857
"Snrnp27",9.44002021382071,5.80139229749629,7.6207062556585,7.6207062556585,7.6207062556585
"Rps27",14.7730178740923,13.9661004397271,14.3695591569097,14.3695591569097,14.3695591569097
"Rnf220",7.7039876081505,7.1045517145171,7.4042696613338,7.4042696613338,7.4042696613338
"Mad2l1bp",3.28183001698146,2.58496250072116,2.93339625885131,2.93339625885131,2.93339625885131
"Rrn3",8.79978301367001,7.93016268244541,8.36497284805771,8.36497284805771,8.36497284805771
"Pdpk1",8.33482567371762,7.59596841812968,7.96539704592365,7.96539704592365,7.96539704592365
"Angel2",6.75525870871278,6.30626494306602,6.5307618258894,6.5307618258894,6.5307618258894
"Gm8069",8.83399552943766,7.4336766603607,8.13383609489918,8.13383609489918,8.13383609489918
"Ddb1",9.95102402875552,8.39802422217819,9.17452412546686,9.17452412546686,9.17452412546686
"Pfdn5",11.6256040288207,8.75444364568169,10.1900238372512,10.1900238372512,10.1900238372512
"Rfk",8.18733566845112,6.22666131271524,7.20699849058318,7.20699849058318,7.20699849058318
"Txndc12",8.81586286002734,8.41836157080126,8.6171122154143,8.6171122154143,8.6171122154143
"Rbm42",8.83469963612971,7.80518221131198,8.31994092372085,8.31994092372085,8.31994092372085
"Pfdn6",9.10773485414536,7.33352141902665,8.220628136586,8.220628136586,8.220628136586
"Rragc",8.16024532707971,6.67829281884443,7.41926907296207,7.41926907296207,7.41926907296207
"Tbl3",4.69150593750945,3.65779282860586,4.17464938305766,4.17464938305766,4.17464938305766
"Polr2f",10.5772783279026,9.54718573662048,10.0622320322615,10.0622320322615,10.0622320322615
"Lamtor5",8.50911365308198,8.5139888355201,8.51155124430104,8.51155124430104,8.51155124430104
"Mrpl52",11.4832478798977,9.13483868178326,10.3090432808405,10.3090432808405,10.3090432808405
"Hnrnpul2",10.2385292953387,8.00803904781088,9.12328417157481,9.12328417157481,9.12328417157481
"Ythdf1",8.92799992967239,8.02656814678092,8.47728403822665,8.47728403822665,8.47728403822665
"Itch",6.54588518140321,4.8895883254108,5.71773675340701,5.71773675340701,5.71773675340701
"Ncl",12.2030209383016,10.6513060171366,11.4271634777191,11.4271634777191,11.4271634777191
"Elp2",7.64748626124954,7.39764269209998,7.52256447667476,7.52256447667476,7.52256447667476
"Rbbp7",11.3172687520456,10.5450350702488,10.9311519111472,10.9311519111472,10.9311519111472
"Morf4l2",11.0012245889751,9.18450842448122,10.0928665067282,10.0928665067282,10.0928665067282
"LOC101056240",12.5383849987631,11.7334771878593,12.1359310933112,12.1359310933112,12.1359310933112
"Cct8",10.6883604493062,9.82688294559577,10.257621697451,10.257621697451,10.257621697451
