"","subventricular_zone"
"Trappc4",8.26474055617797
"Psmb5",8.60735602040764
"Ppm1a",8.19053308235039
"Anapc1",6.1179982009753
"Xpo7",7.5017807067935
"Nmt1",8.08052824515466
"Atg5",4.39290823702922
"Mrpl27",7.77025512030414
"Wars",6.09470598737805
"Psma1",9.31213742505649
"Gps1",8.69137636960313
"LOC100044627",12.4701726181309
"Ctbp1",8.95862797473246
"Huwe1",8.71935828773665
"Cdv3",10.9230419651514
"Tug1",9.41670224089999
"Arfgef1",8.75802248010857
"Snrnp27",7.6207062556585
"Rps27",14.3695591569097
"Rnf220",7.4042696613338
"Mad2l1bp",2.93339625885131
"Rrn3",8.36497284805771
"Pdpk1",7.96539704592365
"Angel2",6.5307618258894
"Gm8069",8.13383609489918
"Ddb1",9.17452412546686
"Pfdn5",10.1900238372512
"Rfk",7.20699849058318
"Txndc12",8.6171122154143
"Rbm42",8.31994092372085
"Pfdn6",8.220628136586
"Rragc",7.41926907296207
"Tbl3",4.17464938305766
"Polr2f",10.0622320322615
"Lamtor5",8.51155124430104
"Mrpl52",10.3090432808405
"Hnrnpul2",9.12328417157481
"Ythdf1",8.47728403822665
"Itch",5.71773675340701
"Ncl",11.4271634777191
"Elp2",7.52256447667476
"Rbbp7",10.9311519111472
"Morf4l2",10.0928665067282
"LOC101056240",12.1359310933112
"Cct8",10.257621697451
"Ganab",8.20561134130642
"Rnf34",6.26835404632673
"Wbp11",8.1129288532171
"Srsf2",8.35495856600363
"Uhrf1",6.51258058265393
"Api5",11.5758689187082
"Cct7",11.8483337490326
"Ppp2r1a",10.7120690426814
"Nono",12.0038133801376
"Csnk1d",5.78899419868721
"Lbr",7.78012432028923
"Orc5",5.91164774118435
"Psmd2",9.4819059577365
"Rps29",13.2388770785787
"Aldh18a1",5.86501698717896
"Npm1",10.7107289531499
"Syt4",4.01033711790317
"Stmn1",13.3549009772018
"Gm15210",9.5259472659807
"Kitl",6.87579165524698
"Eif3c",9.84073649854182
"Kpna2",8.48725772186688
"Eif4g2",12.0754343104323
"Cct4",9.93519703511051
"Trim28",10.5684854637141
"Calu",9.43733543419374
"Hnrnph1",12.1159950053466
"3010003L21Rik",6.45128266831967
"Rps26",11.30793692199
"Dpysl3",5.11045635490005
"Rrm1",9.80310808397579
"Rplp2",13.6792240202849
"Hdgf",9.00916177508164
"Plod3",6.2666229564906
"Slc38a1",7.95166588496341
"Tmsb4x",12.5912564951025
"Stip1",8.6052253256569
"Gm15483",10.1348268237628
"Hnrnpab",10.9146634310405
"Ddx1",10.4183874212474
"Mthfd1",9.48737221592183
"Tnfrsf19",9.34666328179038
"Marcksl1",8.73059662402467
"Nup62",7.82891168980348
"Cops8",7.55799694154079
"Zfand2a",6.93653906322978
"Gm5621",10.8034969864126
"Sdc1",5.87123376128874
"Mcm5",6.10783131746846
"Pebp1",12.5577853685761
"Rrp1",8.14405534069792
"Slc2a4",4.09766862471768
"Eif3h",11.0999716727791
"Hnrnph2",9.8712882597944
"Marcks",10.4310887182332
"Carhsp1",9.82474733968463
"Tubb3",8.32792957826972
"Rpl7",11.793873805845
"Atp5g2",10.7777704976848
"Lcp1",3.03957467699772
"Sf3b3",9.52349376440832
"Hdlbp",7.31541943658272
"Klhdc3",8.22021936859681
"Casp6",3.37244462769876
"Txnip",7.34531575870464
"Vdac1",9.62728910476577
"Cotl1",3.57001872836632
"Ywhah",11.1424514403464
"Psmc1",11.1217817930716
"Mdk",12.4838322457175
"Satb1",4.115463085694
"Abce1",7.74640607856404
"Atp5g1",9.88288587379946
"Fabp3",3.2073950049494
"Cct3",10.9681240339235
"LOC102635048",10.5798071642577
"Hn1",8.67387691345397
"Klf10",6.05287580625424
"Mcm7",6.0147917567638
"Cd24a",6.8066268571233
