"","PSVZ","QSVZ","M","No_data","subventricular_zone","PSVZ","QSVZ","M","No_data","subventricular_zone"
"PSVZ",1,0.86448851416634,0.968539903782452,0.968539903782452,0.968539903782452,NA,0,0,0,0
"QSVZ",0.86448851416634,1,0.96238088838762,0.96238088838762,0.96238088838762,0,NA,0,0,0
"M",0.968539903782452,0.96238088838762,1,1,1,0,0,NA,0,0
"No_data",0.968539903782452,0.96238088838762,1,1,1,0,0,0,NA,0
"subventricular_zone",0.968539903782452,0.96238088838762,1,1,1,0,0,0,0,NA
