"","PSVZ","QSVZ","M","No_data","subventricular_zone","PSVZ","QSVZ","M","No_data","subventricular_zone"
"PSVZ",1,0.867747874458194,0.968327227998999,0.968327227998999,0.968327227998999,NA,0,0,0,0
"QSVZ",0.867747874458194,1,0.96435828231063,0.96435828231063,0.96435828231063,0,NA,0,0,0
"M",0.968327227998999,0.96435828231063,1,1,1,0,0,NA,0,0
"No_data",0.968327227998999,0.96435828231063,1,1,1,0,0,0,NA,0
"subventricular_zone",0.968327227998999,0.96435828231063,1,1,1,0,0,0,0,NA
