"","Gene","Category"
"1","RNA5SP490","PGBObyQGBO"
"2","MIR3193","PGBObyQGBO"
"3","VN1R108P","PGBObyQGBO"
"4","MIR4734","PGBObyQGBO"
"5","AL022334.2","PGBObyQGBO"
"6","AC004233.4","PGBObyQGBO"
"7","LENEP","PGBObyQGBO"
"8","AL590095.2","PGBObyQGBO"
"9","IGLV1-51","PGBObyQGBO"
"10","AL008707.1","PGBObyQGBO"
"11","RPS29P10","PGBObyQGBO"
"12","MIR3188","PGBObyQGBO"
"13","RF00612","PGBObyQGBO"
"14","MIR4678","PGBObyQGBO"
"15","RNVU1-7","PGBObyQGBO"
"16","MRPS18CP6","PGBObyQGBO"
"17","AC009570.1","PGBObyQGBO"
"18","AP003355.3","PGBObyQGBO"
"19","RNU6ATAC26P","PGBObyQGBO"
"20","RPL29P19","PGBObyQGBO"
"21","RPL12P42","PGBObyQGBO"
"22","AC245452.2","PGBObyQGBO"
"23","RNU6-705P","PGBObyQGBO"
"24","AL160175.1","PGBObyQGBO"
"25","MTCO2P17","PGBObyQGBO"
"26","AC073352.1","PGBObyQGBO"
"27","AC005355.2","PGBObyQGBO"
"28","AC122688.1","PGBObyQGBO"
"29","HIST1H4A","PGBObyQGBO"
"30","MIR219A1","PGBObyQGBO"
"31","AC067747.1","PGBObyQGBO"
"32","TAF9P3","PGBObyQGBO"
"33","RPL12P8","PGBObyQGBO"
"34","AC104118.1","PGBObyQGBO"
"35","ZNF603P","PGBObyQGBO"
"36","RN7SL804P","PGBObyQGBO"
"37","AC090281.1","PGBObyQGBO"
"38","AL451107.1","PGBObyQGBO"
"39","ITPR1-AS1","PGBObyQGBO"
"40","AC099066.3","PGBObyQGBO"
"41","RNU6-662P","PGBObyQGBO"
"42","AC133552.4","PGBObyQGBO"
"43","AC104073.2","PGBObyQGBO"
"44","RPS2P4","PGBObyQGBO"
"45","AC018558.2","PGBObyQGBO"
"46","INTS6L-AS1","PGBObyQGBO"
"47","NPTX1","PGBObyQGBO"
"48","AL603825.1","PGBObyQGBO"
"49","Z96811.1","PGBObyQGBO"
"50","AC012354.2","PGBObyQGBO"
"51","HYI-AS1","PGBObyQGBO"
"52","IFITM4P","PGBObyQGBO"
"53","RNU6-177P","PGBObyQGBO"
"54","RNU6-31P","PGBObyQGBO"
"55","VTRNA1-3","PGBObyQGBO"
"56","RF00136","PGBObyQGBO"
"57","AC005363.2","PGBObyQGBO"
"58","SELENOTP1","PGBObyQGBO"
"59","RNU6-781P","PGBObyQGBO"
"60","VN1R87P","PGBObyQGBO"
"61","IFITM5","PGBObyQGBO"
"62","RPL21P32","PGBObyQGBO"
"63","SPP1","PGBObyQGBO"
"64","AL627309.6","PGBObyQGBO"
"65","RN7SL316P","PGBObyQGBO"
"66","AL391840.1","PGBObyQGBO"
"67","AC136475.6","PGBObyQGBO"
"68","AC131235.4","PGBObyQGBO"
"69","ERICD","PGBObyQGBO"
"70","GAPDHP22","PGBObyQGBO"
"71","TMPOP2","PGBObyQGBO"
"72","AC113608.1","PGBObyQGBO"
"73","AL732618.1","PGBObyQGBO"
"74","AL353608.2","PGBObyQGBO"
"75","AC007952.4","PGBObyQGBO"
"76","AC093844.1","PGBObyQGBO"
"77","AC090192.1","PGBObyQGBO"
"78","AC090589.1","PGBObyQGBO"
"79","AC078842.1","PGBObyQGBO"
"80","RF00432","PGBObyQGBO"
"81","AC005674.2","PGBObyQGBO"
"82","AL158211.3","PGBObyQGBO"
"83","KIAA0040","PGBObyQGBO"
"84","AL356512.1","PGBObyQGBO"
"85","AP006545.2","PGBObyQGBO"
"86","TRBV7-3","PGBObyQGBO"
"87","AC106785.2","PGBObyQGBO"
"88","AP006547.1","PGBObyQGBO"
"89","FRG2","PGBObyQGBO"
"90","RN7SL568P","PGBObyQGBO"
"91","AL049775.1","PGBObyQGBO"
"92","RN7SL868P","PGBObyQGBO"
"93","CDC42P4","PGBObyQGBO"
"94","RPL6P8","PGBObyQGBO"
"95","AP003973.2","PGBObyQGBO"
"96","MYC","PGBObyQGBO"
"97","AL158151.4","PGBObyQGBO"
"98","AL355472.4","PGBObyQGBO"
"99","DOCK9-AS2","PGBObyQGBO"
"100","AL121983.1","PGBObyQGBO"
"101","GEM","PGBObyQGBO"
"102","AC025423.3","PGBObyQGBO"
"103","CEMIP","PGBObyQGBO"
"104","AC020551.1","PGBObyQGBO"
"105","AC073389.3","PGBObyQGBO"
"106","AC004854.1","PGBObyQGBO"
"107","NFU1P2","PGBObyQGBO"
"108","RPL21P89","PGBObyQGBO"
"109","AC012462.3","PGBObyQGBO"
"110","AC104333.3","PGBObyQGBO"
"111","AL121723.1","PGBObyQGBO"
"112","CLIC4P3","PGBObyQGBO"
"113","TAGLN","PGBObyQGBO"
"114","USP46-AS1","PGBObyQGBO"
"115","CHL1-AS2","PGBObyQGBO"
"116","Z97653.2","PGBObyQGBO"
"117","AC136475.9","PGBObyQGBO"
"118","AC008972.2","PGBObyQGBO"
"119","RNU6-529P","PGBObyQGBO"
"120","AC032011.1","PGBObyQGBO"
"121","AC003965.1","PGBObyQGBO"
"122","HIST1H3F","PGBObyQGBO"
"123","FLRT2","PGBObyQGBO"
"124","HIST1H2AB","PGBObyQGBO"
"125","AL135744.1","PGBObyQGBO"
"126","LINC01165","PGBObyQGBO"
"127","AC073130.3","PGBObyQGBO"
"128","AHNAK2","PGBObyQGBO"
"129","FAM92A1P1","PGBObyQGBO"
"130","FN1","PGBObyQGBO"
"131","AC091953.2","PGBObyQGBO"
"132","AC015813.7","PGBObyQGBO"
"133","ADRA2A","PGBObyQGBO"
"134","RNU6-925P","PGBObyQGBO"
"135","AC009097.3","PGBObyQGBO"
"136","AC112220.4","PGBObyQGBO"
"137","DBIL5P","PGBObyQGBO"
"138","IL31RA","PGBObyQGBO"
"139","AL365400.2","PGBObyQGBO"
"140","AL163051.1","PGBObyQGBO"
"141","AC079766.1","PGBObyQGBO"
"142","U91328.3","PGBObyQGBO"
"143","AL590652.1","PGBObyQGBO"
"144","AC062029.1","PGBObyQGBO"
"145","AC008622.2","PGBObyQGBO"
"146","TPBG","PGBObyQGBO"
"147","AC006012.1","PGBObyQGBO"
"148","LINC02300","PGBObyQGBO"
"149","CHST1","PGBObyQGBO"
"150","AL391262.1","PGBObyQGBO"
"151","LINC01711","PGBObyQGBO"
"152","AC092645.1","PGBObyQGBO"
"153","THBS1","PGBObyQGBO"
"154","GFAP","PGBObyQGBO"
"155","AC096734.2","PGBObyQGBO"
"156","AC079906.1","PGBObyQGBO"
"157","NUFIP1P","PGBObyQGBO"
"158","LINC00324","PGBObyQGBO"
"159","AC107081.1","PGBObyQGBO"
"160","CLK2P1","PGBObyQGBO"
"161","AC010719.1","PGBObyQGBO"
"162","AC104187.1","PGBObyQGBO"
"163","AL137845.2","PGBObyQGBO"
"164","INHBB","PGBObyQGBO"
"165","AC068620.1","PGBObyQGBO"
"166","AL512303.1","PGBObyQGBO"
"167","AL513320.1","PGBObyQGBO"
"168","MTMR11","PGBObyQGBO"
"169","RPS26P39","PGBObyQGBO"
"170","GRPR","PGBObyQGBO"
"171","AC104785.1","PGBObyQGBO"
"172","ELOCP18","PGBObyQGBO"
"173","AC112503.2","PGBObyQGBO"
"174","CACYBPP3","PGBObyQGBO"
"175","NXPH3","PGBObyQGBO"
"176","HIST1H1T","PGBObyQGBO"
"177","AC108475.1","PGBObyQGBO"
"178","RASAL2-AS1","PGBObyQGBO"
"179","AC008785.1","PGBObyQGBO"
"180","LINC02560","PGBObyQGBO"
"181","AL355297.3","PGBObyQGBO"
"182","PECAM1","PGBObyQGBO"
"183","AC008555.8","PGBObyQGBO"
"184","AC090229.1","PGBObyQGBO"
"185","MEG3","PGBObyQGBO"
"186","PAN3-AS1","PGBObyQGBO"
"187","AC021321.1","PGBObyQGBO"
"188","AL161658.1","PGBObyQGBO"
"189","RARRES2P10","PGBObyQGBO"
