"","Gene","Category"
"1","Ube2c","PSVZbyQSVZ"
"2","Pbk","PSVZbyQSVZ"
"3","Ascl1","PSVZbyQSVZ"
"4","Hmgb2","PSVZbyQSVZ"
"5","Mki67","PSVZbyQSVZ"
"6","Ung","PSVZbyQSVZ"
"7","Dlx1","PSVZbyQSVZ"
"8","Tubb5","PSVZbyQSVZ"
"9","Mycn","PSVZbyQSVZ"
"10","Atad2","PSVZbyQSVZ"
"11","Hist1h2ab","PSVZbyQSVZ"
"12","Gm10052","PSVZbyQSVZ"
"13","Ccna2","PSVZbyQSVZ"
"14","Lmnb1","PSVZbyQSVZ"
"15","Gm8203","PSVZbyQSVZ"
"16","Kif11","PSVZbyQSVZ"
"17","Cd24a","PSVZbyQSVZ"
"18","Ncapg","PSVZbyQSVZ"
"19","Uhrf1","PSVZbyQSVZ"
"20","Ccnd2","PSVZbyQSVZ"
"21","Larp7","PSVZbyQSVZ"
"22","Timeless","PSVZbyQSVZ"
"23","Kif20a","PSVZbyQSVZ"
"24","Ybx1","PSVZbyQSVZ"
"25","Cdk4","PSVZbyQSVZ"
"26","Tyms","PSVZbyQSVZ"
"27","2810417H13Rik","PSVZbyQSVZ"
"28","Smc2","PSVZbyQSVZ"
"29","3010003L21Rik","PSVZbyQSVZ"
"30","Nop58","PSVZbyQSVZ"
"31","Mcm6","PSVZbyQSVZ"
"32","Sox11","PSVZbyQSVZ"
"33","Tacc3","PSVZbyQSVZ"
"34","Aspm","PSVZbyQSVZ"
"35","Myt1","PSVZbyQSVZ"
"36","Casc5","PSVZbyQSVZ"
"37","Spc25","PSVZbyQSVZ"
"38","Anp32b","PSVZbyQSVZ"
"39","Rpl35","PSVZbyQSVZ"
"40","Ncapd2","PSVZbyQSVZ"
"41","Rrm2","PSVZbyQSVZ"
"42","Arhgap11a","PSVZbyQSVZ"
"43","Gas2l3","PSVZbyQSVZ"
"44","Mcm2","PSVZbyQSVZ"
"45","Cdk6","PSVZbyQSVZ"
"46","Mcm5","PSVZbyQSVZ"
"47","Dlx2","PSVZbyQSVZ"
"48","Cenpf","PSVZbyQSVZ"
"49","Ect2","PSVZbyQSVZ"
"50","Cdca2","PSVZbyQSVZ"
"51","Insm1","PSVZbyQSVZ"
"52","Racgap1","PSVZbyQSVZ"
"53","Nrm","PSVZbyQSVZ"
"54","Nptx2","PSVZbyQSVZ"
"55","Birc5","PSVZbyQSVZ"
"56","Lig1","PSVZbyQSVZ"
"57","Cenpk","PSVZbyQSVZ"
"58","Ranbp1","PSVZbyQSVZ"
"59","Cks2","PSVZbyQSVZ"
"60","H2afz","PSVZbyQSVZ"
"61","Hdgf","PSVZbyQSVZ"
"62","Aurka","PSVZbyQSVZ"
"63","Egr1","PSVZbyQSVZ"
"64","Abracl","PSVZbyQSVZ"
"65","Brca1","PSVZbyQSVZ"
"66","Pabpc1","PSVZbyQSVZ"
"67","Dhx9","PSVZbyQSVZ"
"68","Marcks","PSVZbyQSVZ"
"69","Tgif2","PSVZbyQSVZ"
"70","Rrm1","PSVZbyQSVZ"
"71","Tpx2","PSVZbyQSVZ"
"72","Hmgb3","PSVZbyQSVZ"
"73","Hnrnpab","PSVZbyQSVZ"
"74","Draxin","PSVZbyQSVZ"
"75","Gm13826","PSVZbyQSVZ"
"76","Ckap2","PSVZbyQSVZ"
"77","Psmc3ip","PSVZbyQSVZ"
"78","Plk4","PSVZbyQSVZ"
"79","H2afx","PSVZbyQSVZ"
"80","Arhgap33","PSVZbyQSVZ"
"81","Gins1","PSVZbyQSVZ"
"82","AK205147","PSVZbyQSVZ"
"83","Cdt1","PSVZbyQSVZ"
"84","Npm1","PSVZbyQSVZ"
"85","Gm4963","PSVZbyQSVZ"
"86","Defa3","PSVZbyQSVZ"
"87","Ckap2l","PSVZbyQSVZ"
"88","Gm5620","PSVZbyQSVZ"
"89","Cdca5","PSVZbyQSVZ"
"90","Prc1","PSVZbyQSVZ"
"91","Mis18bp1","PSVZbyQSVZ"
"92","Prr11","PSVZbyQSVZ"
"93","Otx1","PSVZbyQSVZ"
"94","Dhfr","PSVZbyQSVZ"
"95","Tox3","PSVZbyQSVZ"
"96","Dkc1","PSVZbyQSVZ"
"97","Ccnb1","PSVZbyQSVZ"
"98","Melk","PSVZbyQSVZ"
"99","Cdk1","PSVZbyQSVZ"
"100","Pcna","PSVZbyQSVZ"
"101","Spc24","PSVZbyQSVZ"
"102","Mex3a","PSVZbyQSVZ"
"103","Bub1b","PSVZbyQSVZ"
"104","Arl4c","PSVZbyQSVZ"
"105","Gm6251","PSVZbyQSVZ"
"106","Fam60a","PSVZbyQSVZ"
"107","Nasp","PSVZbyQSVZ"
"108","Cdc6","PSVZbyQSVZ"
"109","Rpl41","PSVZbyQSVZ"
"110","Mdc1","PSVZbyQSVZ"
"111","Nolc1","PSVZbyQSVZ"
"112","Tcf19","PSVZbyQSVZ"
"113","Dll1","PSVZbyQSVZ"
"114","Prim1","PSVZbyQSVZ"
"115","Fignl1","PSVZbyQSVZ"
"116","Cdk2ap1","PSVZbyQSVZ"
"117","Rps28","PSVZbyQSVZ"
"118","Rpl19","PSVZbyQSVZ"
"119","Kif22","PSVZbyQSVZ"
"120","Hmmr","PSVZbyQSVZ"
"121","Bub1","PSVZbyQSVZ"
"122","Gm10349","PSVZbyQSVZ"
"123","Ccnb2","PSVZbyQSVZ"
"124","Elavl4","PSVZbyQSVZ"
"125","1110038B12Rik","PSVZbyQSVZ"
"126","Tk1","PSVZbyQSVZ"
"127","Hes6","PSVZbyQSVZ"
"128","Fos","PSVZbyQSVZ"
"129","Rpl22","PSVZbyQSVZ"
"130","Rps15a","PSVZbyQSVZ"
"131","Dbf4","PSVZbyQSVZ"
"132","Hist1h1e","PSVZbyQSVZ"
"133","Frat2","PSVZbyQSVZ"
"134","Rps24","PSVZbyQSVZ"
"135","E2f1","PSVZbyQSVZ"
"136","Ifit2","PSVZbyQSVZ"
"137","2700094K13Rik","PSVZbyQSVZ"
"138","Cdca7","PSVZbyQSVZ"
"139","Kpna2","PSVZbyQSVZ"
"140","Mfap2","PSVZbyQSVZ"
"141","Dnah11","PSVZbyQSVZ"
"142","Hat1","PSVZbyQSVZ"
"143","Fanci","PSVZbyQSVZ"
"144","Poc1b","PSVZbyQSVZ"
"145","Dnmt1","PSVZbyQSVZ"
"146","Gm15501","PSVZbyQSVZ"
"147","Syce2","PSVZbyQSVZ"
"148","Banf1","PSVZbyQSVZ"
"149","Ncapg2","PSVZbyQSVZ"
"150","Gm10340","PSVZbyQSVZ"
"151","Sephs1","PSVZbyQSVZ"
"152","Incenp","PSVZbyQSVZ"
"153","Clspn","PSVZbyQSVZ"
"154","Wee1","PSVZbyQSVZ"
"155","Vrk1","PSVZbyQSVZ"
"156","Cdc7","PSVZbyQSVZ"
"157","Rps3","PSVZbyQSVZ"
"158","Hn1l","PSVZbyQSVZ"
"159","Rps19","PSVZbyQSVZ"
"160","Haus1","PSVZbyQSVZ"
"161","Lsm3","PSVZbyQSVZ"
"162","Stil","PSVZbyQSVZ"
"163","Dctpp1","PSVZbyQSVZ"
"164","Tubb3","PSVZbyQSVZ"
"165","E2f8","PSVZbyQSVZ"
"166","Rps11","PSVZbyQSVZ"
"167","Cdca8","PSVZbyQSVZ"
"168","Sdc1","PSVZbyQSVZ"
"169","Sox4","PSVZbyQSVZ"
"170","Aurkb","PSVZbyQSVZ"
"171","Suv39h2","PSVZbyQSVZ"
"172","Hmgn5","PSVZbyQSVZ"
"173","Nap1l1","PSVZbyQSVZ"
"174","D930015E06Rik","PSVZbyQSVZ"
"175","Snrpe","PSVZbyQSVZ"
"176","Gm10913","PSVZbyQSVZ"
"177","Trip11","PSVZbyQSVZ"
"178","Mcm7","PSVZbyQSVZ"
"179","Rpl11","PSVZbyQSVZ"
"180","Rps3a1","PSVZbyQSVZ"
"181","Ube2s","PSVZbyQSVZ"
"182","Baz1a","PSVZbyQSVZ"
"183","Hmgn1","PSVZbyQSVZ"
"184","Rplp2","PSVZbyQSVZ"
"185","Sgol1","PSVZbyQSVZ"
"186","Hirip3","PSVZbyQSVZ"
"187","Uba52","PSVZbyQSVZ"
"188","Pak3","PSVZbyQSVZ"
"189","Rpl13a","PSVZbyQSVZ"
"190","Kif18b","PSVZbyQSVZ"
"191","Sgol2","PSVZbyQSVZ"
"192","Cyb5r3","PSVZbyQSVZ"
"193","Ncaph","PSVZbyQSVZ"
"194","Ptbp1","PSVZbyQSVZ"
"195","Rplp0","PSVZbyQSVZ"
"196","Mcm3","PSVZbyQSVZ"
"197","Gm17748","PSVZbyQSVZ"
"198","Smc4","PSVZbyQSVZ"
"199","Knstrn","PSVZbyQSVZ"
"200","Gjc1","PSVZbyQSVZ"
"201","Cep55","PSVZbyQSVZ"
"202","Cnpy4","PSVZbyQSVZ"
"203","Parp1","PSVZbyQSVZ"
"204","Gm10029","PSVZbyQSVZ"
"205","Tex30","PSVZbyQSVZ"
"206","Ppil1","PSVZbyQSVZ"
"207","Homer2","PSVZbyQSVZ"
"208","Tmsb4x","PSVZbyQSVZ"
"209","Ndc80","PSVZbyQSVZ"
"210","Rpl4","PSVZbyQSVZ"
"211","Snrpg","PSVZbyQSVZ"
"212","Cdkn3","PSVZbyQSVZ"
"213","Polr1a","PSVZbyQSVZ"
"214","D10Wsu102e","PSVZbyQSVZ"
"215","Anp32e","PSVZbyQSVZ"
"216","Grb10","PSVZbyQSVZ"
"217","Gm6750","PSVZbyQSVZ"
